"contract_item","permission_status","d12f_status","evidence","notes"
"run controlled preliminary RDOLS robustness estimations only for D12E queued candidates","ALLOWED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"use manual RDOLS wrapper only","ALLOWED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"use restricted dynamics only","ALLOWED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"use current D12C/D12E-approved variables only","ALLOWED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"write model cards and coefficient ledgers marked preliminary","ALLOWED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"compare signs and magnitudes across windows and lead/lag grids","ALLOWED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"run final manuscript estimation","BLOCKED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"perform productive-capacity reconstruction","BLOCKED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"perform utilization reconstruction","BLOCKED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"perform elasticity recovery","BLOCKED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"use q_omega","BLOCKED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"run FM-OLS/IM-OLS nonlinear baseline","BLOCKED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"use cointRegD as interacted baseline engine","BLOCKED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"add dynamic corrections for interaction/generated terms","BLOCKED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"estimate descriptive-only windows","BLOCKED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
"estimate blocked windows","BLOCKED_D12F","PASS","csv/D12E_D12F_API_CONTRACT.csv","D12F confirms inherited D12E API contract"
