"variable_id","authoritative_variable_id","contract_status","interface_lane","source_file","unit","coverage_start","coverage_end","permitted_use","prohibited_use","alias_type","direction_of_authority","downstream_independent_use_authorized"
"GROSS_ACCUMULATION_NET_FLOW_ME","DELTA_G_ME","ALIAS_INTERFACE_ONLY","alias_authority","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization",NA,NA,"no"
"GROSS_ACCUMULATION_NET_FLOW_NRC","DELTA_G_NRC","ALIAS_INTERFACE_ONLY","alias_authority","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization",NA,NA,"no"
"GROSS_ACCUMULATION_NET_FLOW_TOT","DELTA_G_TOT","ALIAS_INTERFACE_ONLY","alias_authority","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization",NA,NA,"no"
"K_GROSS_ME","G_ME_GPIM_2017","ALIAS_INTERFACE_ONLY","alias_authority","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization",NA,NA,"no"
"K_GROSS_NRC","G_NRC_GPIM_2017","ALIAS_INTERFACE_ONLY","alias_authority","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization",NA,NA,"no"
"K_GROSS_TOT","G_TOT_GPIM_2017","ALIAS_INTERFACE_ONLY","alias_authority","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","interface_K_alias","use authoritative_variable_id for downstream S29H contract; alias must not enter as independent object","no"
"K_NET_ME","N_ME_GPIM_2017","ALIAS_INTERFACE_ONLY","alias_authority","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization",NA,NA,"no"
"K_NET_NRC","N_NRC_GPIM_2017","ALIAS_INTERFACE_ONLY","alias_authority","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization",NA,NA,"no"
"K_NET_TOT","N_TOT_GPIM_2017","ALIAS_INTERFACE_ONLY","alias_authority","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","interface_K_alias","use authoritative_variable_id for downstream S29H contract; alias must not enter as independent object","no"
"NET_ACCUMULATION_NET_FLOW_ME","DELTA_N_ME","ALIAS_INTERFACE_ONLY","alias_authority","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization",NA,NA,"no"
