"variable_id","contract_status","contract_role","interface_lane","source_file","unit","coverage_start","coverage_end","first_fully_supported_year","permitted_use","prohibited_use"
"CFC_ME_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,1925,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"CFC_NRC_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,1931,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"CFC_RATE_N_ME","DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1926,"accounting_diagnostic","not_baseline_stock; not_model_input; not_structural_depreciation_parameter; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"CFC_RATE_N_NRC","DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1932,"accounting_diagnostic","not_baseline_stock; not_model_input; not_structural_depreciation_parameter; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"CFC_RATE_N_TOT","DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1932,"accounting_diagnostic","not_baseline_stock; not_model_input; not_structural_depreciation_parameter; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"CFC_TOT_GPIM_2017","DIAGNOSTIC_ONLY","capital_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,1931,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DELTA_G_ME","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1902,2024,1926,"continuity_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DELTA_G_NRC","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1902,2024,1932,"continuity_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DELTA_I_ME","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1902,2024,1926,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DELTA_I_NRC","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1902,2024,1932,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DELTA_I_TOT","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1902,2024,1932,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DELTA_N_ME","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1902,2024,1926,"continuity_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DELTA_N_NRC","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1902,2024,1932,"continuity_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DELTA_N_TOT","DIAGNOSTIC_ONLY","net_stock_robustness_candidate","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1902,2024,1932,"continuity_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
