"variable_id","contract_status","contract_role","interface_lane","value_bearing_interface_included","active_by_default","authoritative_variable_id","alias_status","unit","coverage_start","coverage_end","first_fully_supported_year","baseline_start_year","baseline_end_year","warmup_restriction","selection_group","joint_use_authorized","explicit_future_authorization_required","permitted_use","prohibited_use","source_commit","source_stage","source_file"
"CFC_ME_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","no","no","CFC_ME_GPIM_2017","not_alias","millions_2017_dollars",1901,2024,1925,NA,NA,"warmup_not_baseline_eligible","not_applicable","not_applicable","yes","continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","cb0d1a93700a6224cbfe82d786f90381519c8de2","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv"
"CFC_NRC_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","no","no","CFC_NRC_GPIM_2017","not_alias","millions_2017_dollars",1901,2024,1931,NA,NA,"warmup_not_baseline_eligible","not_applicable","not_applicable","yes","continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","cb0d1a93700a6224cbfe82d786f90381519c8de2","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv"
"CFC_RATE_N_ME","DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","diagnostic_reference","no","no","CFC_RATE_N_ME","not_alias","decimal_rate",1902,2024,1926,NA,NA,"warmup_not_baseline_eligible","not_applicable","not_applicable","yes","accounting_diagnostic","not_baseline_stock; not_model_input; not_structural_depreciation_parameter; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","cb0d1a93700a6224cbfe82d786f90381519c8de2","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv"
"CFC_RATE_N_NRC","DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","diagnostic_reference","no","no","CFC_RATE_N_NRC","not_alias","decimal_rate",1902,2024,1932,NA,NA,"warmup_not_baseline_eligible","not_applicable","not_applicable","yes","accounting_diagnostic","not_baseline_stock; not_model_input; not_structural_depreciation_parameter; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","cb0d1a93700a6224cbfe82d786f90381519c8de2","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv"
"CFC_RATE_N_TOT","DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","diagnostic_reference","no","no","CFC_RATE_N_TOT","not_alias","decimal_rate",1902,2024,1932,NA,NA,"warmup_not_baseline_eligible","not_applicable","not_applicable","yes","accounting_diagnostic","not_baseline_stock; not_model_input; not_structural_depreciation_parameter; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","cb0d1a93700a6224cbfe82d786f90381519c8de2","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv"
"CFC_TOT_GPIM_2017","DIAGNOSTIC_ONLY","capital_diagnostic","diagnostic_reference","no","no","CFC_TOT_GPIM_2017","not_alias","millions_2017_dollars",1901,2024,1931,NA,NA,"warmup_not_baseline_eligible","not_applicable","not_applicable","yes","continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","cb0d1a93700a6224cbfe82d786f90381519c8de2","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv"
"DELTA_G_ME","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","no","no","DELTA_G_ME","not_alias","millions_2017_dollars",1902,2024,1926,NA,NA,"warmup_not_baseline_eligible","not_applicable","not_applicable","yes","continuity_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","cb0d1a93700a6224cbfe82d786f90381519c8de2","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv"
"DELTA_G_NRC","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","no","no","DELTA_G_NRC","not_alias","millions_2017_dollars",1902,2024,1932,NA,NA,"warmup_not_baseline_eligible","not_applicable","not_applicable","yes","continuity_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","cb0d1a93700a6224cbfe82d786f90381519c8de2","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv"
"DELTA_G_TOT","CONDITIONAL_SECONDARY","productive_capital_growth_candidate","conditional_secondary","yes","no","DELTA_G_TOT","not_alias","millions_2017_dollars",1902,2024,1932,1932,2024,"warmup_not_baseline_eligible","not_applicable","not_applicable","yes","secondary_growth","not_baseline_stock; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","cb0d1a93700a6224cbfe82d786f90381519c8de2","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv"
"DELTA_I_ME","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","no","no","DELTA_I_ME","not_alias","millions_2017_dollars",1902,2024,1926,NA,NA,"warmup_not_baseline_eligible","not_applicable","not_applicable","yes","accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","cb0d1a93700a6224cbfe82d786f90381519c8de2","S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv"
