"stage_id","audit_item","constructed_object_count","status","evidence"
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","no_new_level_variable",0,"PASS","S29I copies S29F values exactly and constructs no analytical variable."
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","no_new_log",0,"PASS","S29I copies S29F values exactly and constructs no analytical variable."
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","no_new_growth_rate",0,"PASS","S29I copies S29F values exactly and constructs no analytical variable."
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","no_new_difference",0,"PASS","S29I copies S29F values exactly and constructs no analytical variable."
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","no_new_lag",0,"PASS","S29I copies S29F values exactly and constructs no analytical variable."
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","no_new_share",0,"PASS","S29I copies S29F values exactly and constructs no analytical variable."
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","no_new_intensity_measure",0,"PASS","S29I copies S29F values exactly and constructs no analytical variable."
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","no_transformations_recomputed",0,"PASS","S29I copies S29F values exactly and constructs no analytical variable."
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","no_values_rounded",0,"PASS","S29I copies S29F values exactly and constructs no analytical variable."
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","no_values_rescaled",0,"PASS","S29I copies S29F values exactly and constructs no analytical variable."
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","no_missing_values_imputed",0,"PASS","S29I copies S29F values exactly and constructs no analytical variable."
"S29I_TOTAL_CAPITAL_DOWNSTREAM_INTERFACE_ASSEMBLY","no_interpolation_performed",0,"PASS","S29I copies S29F values exactly and constructs no analytical variable."
