spec_id,lhs,regressors,theoretical_role,scale_term,mechanization_state,distribution_state,accumulation_increment,theta_recovery_interpretation,ovb_control_status,i_order_status,design_status,eg_status,standard_grid_status,recommended_role,notes
D0_y_kKcap,y_t,k_Kcap,baseline total capacity scale,k_Kcap,,,,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,PASS,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,STANDARD_CANDIDATE,DO_NOT_ADVANCE,Estimated via CPR-adapted cointegration.
D1_y_kNRC,y_t,k_NRC,NRC plant/envelope scale,k_NRC,,,,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,PASS,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,STANDARD_CANDIDATE,DO_NOT_ADVANCE,Estimated via CPR-adapted cointegration.
D2_y_kKcap_omega,y_t,k_Kcap + omega_NFC_centered,Kcap scale plus distribution,k_Kcap,,omega_NFC,,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,PASS,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,STANDARD_CANDIDATE,OVB_CONTROL_DIAGNOSTIC,Estimated via CPR-adapted cointegration.
D3_y_kNRC_omega,y_t,k_NRC + omega_NFC_centered,NRC scale plus distribution,k_NRC,,omega_NFC,,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,PASS,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,STANDARD_CANDIDATE,OVB_CONTROL_DIAGNOSTIC,Estimated via CPR-adapted cointegration.
D4_y_kKcap_omega_inter,y_t,k_Kcap_centered + omega_NFC_centered + inter_kKcap_omega,Specification A: direct scale-conditioning (Kcap),k_Kcap,,omega_NFC,inter_kKcap_omega,theta_t equals scale coefficient plus interaction coefficient times lagged centered distribution in CPR scale interpretation.,NO_STANDALONE_OMEGA_CONTROL,PASS,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,STANDARD_CANDIDATE,SECONDARY_CANDIDATE_FOR_S35,Estimated via CPR-adapted cointegration.
D5_y_kKcap_omega_inter_orth,y_t,k_Kcap_centered + omega_NFC_centered + inter_kKcap_omega_orth,"Specification A: direct scale-conditioning (Kcap, orthogonalized)",k_Kcap,,omega_NFC,inter_kKcap_omega_orth,theta_t equals scale coefficient plus interaction coefficient times lagged centered distribution in CPR scale interpretation.,NO_STANDALONE_OMEGA_CONTROL,PASS,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,STANDARD_CANDIDATE,SECONDARY_CANDIDATE_FOR_S35,Estimated via CPR-adapted cointegration.
D6_y_kNRC_omega_inter,y_t,k_NRC_centered + omega_NFC_centered + inter_kNRC_omega,Specification A: direct scale-conditioning (NRC),k_NRC,,omega_NFC,inter_kNRC_omega,theta_t equals scale coefficient plus interaction coefficient times lagged centered distribution in CPR scale interpretation.,NO_STANDALONE_OMEGA_CONTROL,PASS,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,STANDARD_CANDIDATE,SECONDARY_CANDIDATE_FOR_S35,Estimated via CPR-adapted cointegration.
D7_y_kNRC_omega_inter_orth,y_t,k_NRC_centered + omega_NFC_centered + inter_kNRC_omega_orth,"Specification A: direct scale-conditioning (NRC, orthogonalized)",k_NRC,,omega_NFC,inter_kNRC_omega_orth,theta_t equals scale coefficient plus interaction coefficient times lagged centered distribution in CPR scale interpretation.,NO_STANDALONE_OMEGA_CONTROL,PASS,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,STANDARD_CANDIDATE,MAIN_CANDIDATE_FOR_S35,Estimated via CPR-adapted cointegration.
D8_y_kNRC_tau_omega_inter,y_t,k_NRC_centered + tau_centered + omega_NFC_centered + inter_tau_omega,Specification B: composition-mediated conditioning,k_NRC,log_ME_NRC_ratio_repaired,omega_NFC,inter_tau_omega,theta_t equals scale coefficient plus interaction coefficient times lagged centered distribution in CPR scale interpretation.,NO_STANDALONE_OMEGA_CONTROL,PASS,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,STANDARD_CANDIDATE,SECONDARY_CANDIDATE_FOR_S35,Estimated via CPR-adapted cointegration.
D9_y_kNRC_tau_omega_inter_orth,y_t,k_NRC_centered + tau_centered + omega_NFC_centered + inter_tau_omega_orth,Specification B: composition-mediated conditioning (orthogonalized),k_NRC,log_ME_NRC_ratio_repaired,omega_NFC,inter_tau_omega_orth,theta_t equals scale coefficient plus interaction coefficient times lagged centered distribution in CPR scale interpretation.,NO_STANDALONE_OMEGA_CONTROL,PASS,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,STANDARD_CANDIDATE,MAIN_CANDIDATE_FOR_S35,Estimated via CPR-adapted cointegration.
