"variable_name","object_family","source_role","baseline_or_robustness","year","value_native","value_index_2017","native_unit","normalized_unit","source_system","source_table_or_series","source_line_or_series_id","source_title","source_boundary","allowed_use","not_allowed_use","construction_formula_or_rule","limitations","status","notes"
"P_Y_NFC_GVA_IMPLICIT_SOURCE","output_price","source_level_derived","baseline",1929,13.3919866778387,13.3919866778387,"Index ratio x100","Index 2017=100","BEA_API","NIPA T11400","17 A455RC + 41 B455RX","NFC implicit GVA deflator from T11400 current-dollar and chained-dollar GVA","NFC","deflate NFC GVA baseline where same-boundary NFC output price is required","do not use as CORP or FC deflator","100 * T11400_line17_current_dollar_NFC_GVA / T11400_line41_chained_dollar_NFC_GVA, after harmonizing units","available only for the NFC boundary","construction_ready","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","output_price","source_level_derived","baseline",1930,12.8112297467136,12.8112297467136,"Index ratio x100","Index 2017=100","BEA_API","NIPA T11400","17 A455RC + 41 B455RX","NFC implicit GVA deflator from T11400 current-dollar and chained-dollar GVA","NFC","deflate NFC GVA baseline where same-boundary NFC output price is required","do not use as CORP or FC deflator","100 * T11400_line17_current_dollar_NFC_GVA / T11400_line41_chained_dollar_NFC_GVA, after harmonizing units","available only for the NFC boundary","construction_ready","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","output_price","source_level_derived","baseline",1931,11.0935078353711,11.0935078353711,"Index ratio x100","Index 2017=100","BEA_API","NIPA T11400","17 A455RC + 41 B455RX","NFC implicit GVA deflator from T11400 current-dollar and chained-dollar GVA","NFC","deflate NFC GVA baseline where same-boundary NFC output price is required","do not use as CORP or FC deflator","100 * T11400_line17_current_dollar_NFC_GVA / T11400_line41_chained_dollar_NFC_GVA, after harmonizing units","available only for the NFC boundary","construction_ready","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","output_price","source_level_derived","baseline",1932,9.48400466069822,9.48400466069822,"Index ratio x100","Index 2017=100","BEA_API","NIPA T11400","17 A455RC + 41 B455RX","NFC implicit GVA deflator from T11400 current-dollar and chained-dollar GVA","NFC","deflate NFC GVA baseline where same-boundary NFC output price is required","do not use as CORP or FC deflator","100 * T11400_line17_current_dollar_NFC_GVA / T11400_line41_chained_dollar_NFC_GVA, after harmonizing units","available only for the NFC boundary","construction_ready","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","output_price","source_level_derived","baseline",1933,9.4485091057661,9.4485091057661,"Index ratio x100","Index 2017=100","BEA_API","NIPA T11400","17 A455RC + 41 B455RX","NFC implicit GVA deflator from T11400 current-dollar and chained-dollar GVA","NFC","deflate NFC GVA baseline where same-boundary NFC output price is required","do not use as CORP or FC deflator","100 * T11400_line17_current_dollar_NFC_GVA / T11400_line41_chained_dollar_NFC_GVA, after harmonizing units","available only for the NFC boundary","construction_ready","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","output_price","source_level_derived","baseline",1934,10.4523000106236,10.4523000106236,"Index ratio x100","Index 2017=100","BEA_API","NIPA T11400","17 A455RC + 41 B455RX","NFC implicit GVA deflator from T11400 current-dollar and chained-dollar GVA","NFC","deflate NFC GVA baseline where same-boundary NFC output price is required","do not use as CORP or FC deflator","100 * T11400_line17_current_dollar_NFC_GVA / T11400_line41_chained_dollar_NFC_GVA, after harmonizing units","available only for the NFC boundary","construction_ready","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","output_price","source_level_derived","baseline",1935,10.6590217659965,10.6590217659965,"Index ratio x100","Index 2017=100","BEA_API","NIPA T11400","17 A455RC + 41 B455RX","NFC implicit GVA deflator from T11400 current-dollar and chained-dollar GVA","NFC","deflate NFC GVA baseline where same-boundary NFC output price is required","do not use as CORP or FC deflator","100 * T11400_line17_current_dollar_NFC_GVA / T11400_line41_chained_dollar_NFC_GVA, after harmonizing units","available only for the NFC boundary","construction_ready","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","output_price","source_level_derived","baseline",1936,10.7303838841298,10.7303838841298,"Index ratio x100","Index 2017=100","BEA_API","NIPA T11400","17 A455RC + 41 B455RX","NFC implicit GVA deflator from T11400 current-dollar and chained-dollar GVA","NFC","deflate NFC GVA baseline where same-boundary NFC output price is required","do not use as CORP or FC deflator","100 * T11400_line17_current_dollar_NFC_GVA / T11400_line41_chained_dollar_NFC_GVA, after harmonizing units","available only for the NFC boundary","construction_ready","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","output_price","source_level_derived","baseline",1937,11.277218790517,11.277218790517,"Index ratio x100","Index 2017=100","BEA_API","NIPA T11400","17 A455RC + 41 B455RX","NFC implicit GVA deflator from T11400 current-dollar and chained-dollar GVA","NFC","deflate NFC GVA baseline where same-boundary NFC output price is required","do not use as CORP or FC deflator","100 * T11400_line17_current_dollar_NFC_GVA / T11400_line41_chained_dollar_NFC_GVA, after harmonizing units","available only for the NFC boundary","construction_ready","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","output_price","source_level_derived","baseline",1938,10.696770660833,10.696770660833,"Index ratio x100","Index 2017=100","BEA_API","NIPA T11400","17 A455RC + 41 B455RX","NFC implicit GVA deflator from T11400 current-dollar and chained-dollar GVA","NFC","deflate NFC GVA baseline where same-boundary NFC output price is required","do not use as CORP or FC deflator","100 * T11400_line17_current_dollar_NFC_GVA / T11400_line41_chained_dollar_NFC_GVA, after harmonizing units","available only for the NFC boundary","construction_ready","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
