"window_id","grid_id","level_terms","restricted_dynamic_base_terms","blocked_dynamic_terms","restriction_status","notes"
"pre_1974_full","LL00","k_me_log; k_nrc_log; omega_nfc; k_me_log_x_omega; k_nrc_log_x_omega; trend","d_k_me_log; d_k_nrc_log; d_omega_nfc","d_k_me_log_x_omega; d_k_nrc_log_x_omega; all q_omega-family differences","PASS_RESTRICTED_DYNAMICS_DESIGN","Interactions enter levels only; q_omega-family differences are blocked."
"pre_1974_full","LL11","k_me_log; k_nrc_log; omega_nfc; k_me_log_x_omega; k_nrc_log_x_omega; trend","d_k_me_log; d_k_nrc_log; d_omega_nfc","d_k_me_log_x_omega; d_k_nrc_log_x_omega; all q_omega-family differences","PASS_RESTRICTED_DYNAMICS_DESIGN","Interactions enter levels only; q_omega-family differences are blocked."
"pre_1974_full","LL22","k_me_log; k_nrc_log; omega_nfc; k_me_log_x_omega; k_nrc_log_x_omega; trend","d_k_me_log; d_k_nrc_log; d_omega_nfc","d_k_me_log_x_omega; d_k_nrc_log_x_omega; all q_omega-family differences","PASS_RESTRICTED_DYNAMICS_DESIGN","Interactions enter levels only; q_omega-family differences are blocked."
"pre_1974_full","LL33","k_me_log; k_nrc_log; omega_nfc; k_me_log_x_omega; k_nrc_log_x_omega; trend","d_k_me_log; d_k_nrc_log; d_omega_nfc","d_k_me_log_x_omega; d_k_nrc_log_x_omega; all q_omega-family differences","PASS_RESTRICTED_DYNAMICS_DESIGN","Interactions enter levels only; q_omega-family differences are blocked."
"post_1973_full","LL00","k_me_log; k_nrc_log; omega_nfc; k_me_log_x_omega; k_nrc_log_x_omega; trend","d_k_me_log; d_k_nrc_log; d_omega_nfc","d_k_me_log_x_omega; d_k_nrc_log_x_omega; all q_omega-family differences","PASS_RESTRICTED_DYNAMICS_DESIGN","Interactions enter levels only; q_omega-family differences are blocked."
"post_1973_full","LL11","k_me_log; k_nrc_log; omega_nfc; k_me_log_x_omega; k_nrc_log_x_omega; trend","d_k_me_log; d_k_nrc_log; d_omega_nfc","d_k_me_log_x_omega; d_k_nrc_log_x_omega; all q_omega-family differences","PASS_RESTRICTED_DYNAMICS_DESIGN","Interactions enter levels only; q_omega-family differences are blocked."
"post_1973_full","LL22","k_me_log; k_nrc_log; omega_nfc; k_me_log_x_omega; k_nrc_log_x_omega; trend","d_k_me_log; d_k_nrc_log; d_omega_nfc","d_k_me_log_x_omega; d_k_nrc_log_x_omega; all q_omega-family differences","PASS_RESTRICTED_DYNAMICS_DESIGN","Interactions enter levels only; q_omega-family differences are blocked."
"post_1973_full","LL33","k_me_log; k_nrc_log; omega_nfc; k_me_log_x_omega; k_nrc_log_x_omega; trend","d_k_me_log; d_k_nrc_log; d_omega_nfc","d_k_me_log_x_omega; d_k_nrc_log_x_omega; all q_omega-family differences","PASS_RESTRICTED_DYNAMICS_DESIGN","Interactions enter levels only; q_omega-family differences are blocked."
"fordist_core","LL00","k_me_log; k_nrc_log; omega_nfc; k_me_log_x_omega; k_nrc_log_x_omega; trend","d_k_me_log; d_k_nrc_log; d_omega_nfc","d_k_me_log_x_omega; d_k_nrc_log_x_omega; all q_omega-family differences","PASS_RESTRICTED_DYNAMICS_DESIGN","Interactions enter levels only; q_omega-family differences are blocked."
"fordist_core","LL11","k_me_log; k_nrc_log; omega_nfc; k_me_log_x_omega; k_nrc_log_x_omega; trend","d_k_me_log; d_k_nrc_log; d_omega_nfc","d_k_me_log_x_omega; d_k_nrc_log_x_omega; all q_omega-family differences","PASS_RESTRICTED_DYNAMICS_DESIGN","Interactions enter levels only; q_omega-family differences are blocked."
