"queue_id","candidate_model_id","window_id","grid_id","candidate_role","priority","authorized_for_D12F","required_warning_labels","execution_notes"
"D12F_QUEUE_001","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL11","pre_1974_full","LL11","PRIMARY_WINDOW_ROBUSTNESS","P1_PRIMARY",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute as controlled preliminary robustness candidate."
"D12F_QUEUE_002","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL22","pre_1974_full","LL22","PRIMARY_WINDOW_ROBUSTNESS","P1_PRIMARY",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute only with review flag; sample/df warning present."
"D12F_QUEUE_003","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL00","pre_1974_full","LL00","MINIMAL_DYNAMIC_DIAGNOSTIC","P4_DIAGNOSTIC",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute as controlled preliminary robustness candidate."
"D12F_QUEUE_004","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL11","post_1973_full","LL11","PRIMARY_WINDOW_ROBUSTNESS","P1_PRIMARY",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute as controlled preliminary robustness candidate."
"D12F_QUEUE_005","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL22","post_1973_full","LL22","PRIMARY_WINDOW_ROBUSTNESS","P1_PRIMARY",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute as controlled preliminary robustness candidate."
"D12F_QUEUE_006","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","post_1973_full","LL00","MINIMAL_DYNAMIC_DIAGNOSTIC","P4_DIAGNOSTIC",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute as controlled preliminary robustness candidate."
"D12F_QUEUE_007","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","post_1973_full","LL33","HIGH_DYNAMIC_DIAGNOSTIC","P4_DIAGNOSTIC",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute only with review flag; sample/df warning present."
"D12F_QUEUE_008","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","fordist_core","LL11","SECONDARY_WINDOW_ROBUSTNESS","P2_SECONDARY",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute only with review flag; sample/df warning present."
"D12F_QUEUE_009","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","fordist_core","LL00","MINIMAL_DYNAMIC_DIAGNOSTIC","P4_DIAGNOSTIC",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute only with review flag; sample/df warning present."
"D12F_QUEUE_010","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","SECONDARY_WINDOW_ROBUSTNESS","P2_SECONDARY",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute as controlled preliminary robustness candidate."
"D12F_QUEUE_011","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL22","bridge_1940_1978","LL22","SECONDARY_WINDOW_ROBUSTNESS","P2_SECONDARY",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute only with review flag; sample/df warning present."
"D12F_QUEUE_012","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL00","bridge_1940_1978","LL00","MINIMAL_DYNAMIC_DIAGNOSTIC","P4_DIAGNOSTIC",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute as controlled preliminary robustness candidate."
"D12F_QUEUE_013","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11","SUPPORT_WINDOW_ROBUSTNESS","P3_SUPPORT",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute only with review flag; sample/df warning present."
"D12F_QUEUE_014","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL00","pre_1974_alt_1940_1973","LL00","MINIMAL_DYNAMIC_DIAGNOSTIC","P4_DIAGNOSTIC",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute only with review flag; sample/df warning present."
"D12F_QUEUE_015","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_LL00","pre_1974_alt_1947_1973","LL00","MINIMAL_DYNAMIC_DIAGNOSTIC","P4_DIAGNOSTIC",TRUE,"CONTROLLED_PRELIMINARY; DESIGN_STAGE_PRELIMINARY_ONLY","Execute only with review flag; sample/df warning present."
