"variable_id","display_name","family_id","concept","concept_group_id","unit","transformation","representation_type","S30_analytical_role","S30_contract_status","S31A_diagnostic_intake_status","reporting_tier","preferred_representation","headline_table_eligible","master_table_included","event_profile_eligible","inclusion_reason","level_counterpart_id"
"G_TOT_GPIM_2017","G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","LEVEL_SERIES_AVAILABLE","TIER_A_CORE","yes","yes","yes","yes","Frozen canonical variable retained without changing its S30 role.","G_TOT_GPIM_2017"
"I_TOT_REAL_2017","I_TOT_REAL_2017","capital","conditional_secondary","TOTAL_CAPITAL_ACCUMULATION","millions_2017_dollars","level_change","EXISTING_DIFFERENCE_OR_RATE","conditional_secondary","CONDITIONAL_SECONDARY","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","no","yes","yes","yes","Frozen canonical variable retained without changing its S30 role.",""
"LOG_G_TOT_GPIM_2017","LOG_G_TOT_GPIM_2017","capital","baseline_representation","TOTAL_GROSS_PRODUCTIVE_CAPITAL","natural_log_of_millions_2017_dollars","log_level","LOG_LEVEL","baseline_representation","BASELINE_AUTHORIZED","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","no","no","yes","no","Frozen canonical variable retained without changing its S30 role.","G_TOT_GPIM_2017"
"LOG_I_TOT_REAL_2017","LOG_I_TOT_REAL_2017","capital","conditional_secondary","TOTAL_CAPITAL_ACCUMULATION","natural_log_of_millions_2017_dollars","growth_or_log_difference","EXISTING_GROWTH_OR_LOG_DIFFERENCE","conditional_secondary","CONDITIONAL_SECONDARY","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","no","no","yes","yes","Frozen canonical variable retained without changing its S30 role.",""
"LOG_N_TOT_GPIM_2017","LOG_N_TOT_GPIM_2017","capital","robustness_representation","TOTAL_NET_PRODUCTIVE_CAPITAL","natural_log_of_millions_2017_dollars","log_level","LOG_LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","TRANSFORMED_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","no","Frozen canonical variable retained without changing its S30 role.","N_TOT_GPIM_2017"
"N_TOT_GPIM_2017","N_TOT_GPIM_2017","capital","robustness_representation","TOTAL_NET_PRODUCTIVE_CAPITAL","millions_2017_dollars","level","LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","LEVEL_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","yes","Frozen canonical variable retained without changing its S30 role.","N_TOT_GPIM_2017"
"DELTA_G_TOT","DELTA_G_TOT","capital","conditional_secondary","GROSS_CAPITAL_ANNUAL_CHANGE","millions_2017_dollars","level_change","EXISTING_DIFFERENCE_OR_RATE","conditional_secondary","CONDITIONAL_SECONDARY","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","no","yes","yes","yes","Frozen canonical variable retained without changing its S30 role.",""
"DLOG_G_TOT","DLOG_G_TOT","capital","conditional_secondary","GROSS_CAPITAL_GROWTH","log_difference","growth_or_log_difference","EXISTING_GROWTH_OR_LOG_DIFFERENCE","conditional_secondary","CONDITIONAL_SECONDARY","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","no","yes","yes","yes","Frozen canonical variable retained without changing its S30 role.",""
"DLOG_N_TOT","DLOG_N_TOT","capital","conditional_secondary","NET_CAPITAL_GROWTH","log_difference","growth_or_log_difference","EXISTING_GROWTH_OR_LOG_DIFFERENCE","conditional_secondary","CONDITIONAL_SECONDARY","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","no","yes","yes","yes","Frozen canonical variable retained without changing its S30 role.",""
"GROWTH_ARITH_G_TOT","GROWTH_ARITH_G_TOT","capital","conditional_secondary","GROSS_CAPITAL_GROWTH","decimal_rate","level_change","EXISTING_DIFFERENCE_OR_RATE","conditional_secondary","CONDITIONAL_SECONDARY","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","no","yes","yes","yes","Frozen canonical variable retained without changing its S30 role.",""
