spec,basis,det_tag,T_window,m,p_candidate_r1,p_max_feasible_r1,n_p_r1_ok,r1_possible,r0_possible
Q1,ortho,SR_const__LR_none,50,4,1,7,7,TRUE,TRUE
Q1,ortho,SR_none__LR_const,50,4,1,7,7,TRUE,TRUE
Q1,ortho,SR_none__LR_none,50,4,1,7,7,TRUE,TRUE
Q1,raw,SR_const__LR_none,50,4,1,7,7,TRUE,TRUE
Q1,raw,SR_none__LR_const,50,4,1,7,7,TRUE,TRUE
Q1,raw,SR_none__LR_none,50,4,1,7,7,TRUE,TRUE
Q2,ortho,SR_const__LR_none,50,5,1,6,6,TRUE,TRUE
Q2,ortho,SR_none__LR_const,50,5,1,6,6,TRUE,TRUE
Q2,ortho,SR_none__LR_none,50,5,1,7,7,TRUE,TRUE
Q2,raw,SR_const__LR_none,50,5,1,7,7,TRUE,TRUE
Q2,raw,SR_none__LR_const,50,5,1,7,7,TRUE,TRUE
Q2,raw,SR_none__LR_none,50,5,1,6,6,TRUE,TRUE
Q3,ortho,SR_const__LR_none,50,6,1,5,5,TRUE,TRUE
Q3,ortho,SR_none__LR_const,50,6,1,5,5,TRUE,TRUE
Q3,ortho,SR_none__LR_none,50,6,1,6,6,TRUE,TRUE
Q3,raw,SR_const__LR_none,50,6,1,5,5,TRUE,TRUE
Q3,raw,SR_none__LR_const,50,6,1,5,5,TRUE,TRUE
Q3,raw,SR_none__LR_none,50,6,1,6,6,TRUE,TRUE
