variable_id,display_name,concept_family,sector_boundary,account_position,source_status,candidate_status,object_admissibility,source_observation_rows,coverage_start,coverage_end,s22_authorization,can_construct_variable_now,can_model_now,can_run_econometrics_now,notes,s22_notes
CORP_AFTER_TAX,CORP_profits_after_tax_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP_PAT,CORP_profits_after_tax,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP_TAX,CORP_taxes_corporate_income,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP_UNDISTRIBUTED,CORP_undistributed_profits_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__IPP__cfc_current_cost,FIN_intellectual_property_products_cfc_current_cost,frontier_conditioning_variables,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__IPP__gross_investment_current_cost,FIN_intellectual_property_products_gross_investment_current_cost,frontier_conditioning_variables,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__IPP__net_stock_current_cost,FIN_intellectual_property_products_net_stock_current_cost,frontier_conditioning_variables,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__IPP__net_stock_quantity_index,FIN_intellectual_property_products_net_stock_quantity_index,frontier_conditioning_variables,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__ME__cfc_current_cost,FIN_machinery_equipment_cfc_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__ME__gross_investment_current_cost,FIN_machinery_equipment_gross_investment_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__ME__net_stock_current_cost,FIN_machinery_equipment_net_stock_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__ME__net_stock_quantity_index,FIN_machinery_equipment_net_stock_quantity_index,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__NRC__cfc_current_cost,FIN_nonresidential_structures_cfc_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__NRC__gross_investment_current_cost,FIN_nonresidential_structures_gross_investment_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__NRC__net_stock_current_cost,FIN_nonresidential_structures_net_stock_current_cost,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
