object_id,source_table,candidate_status,blocked_or_parked_status,s22_disposition,reason,allowed_current_use,prohibited_current_use,promoted_in_s22
CORP__IPP__official_price_index,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__ME__official_price_index,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__NRC__official_price_index,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__TOTAL__official_price_index,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN__IPP__gross_stock_current_cost,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN__IPP__official_price_index,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN__ME__gross_stock_current_cost,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN__ME__official_price_index,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN__NRC__gross_stock_current_cost,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN__NRC__official_price_index,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
