"lock_id","lock_area","object_or_rule","lock_status","implementation_instruction","forbidden_action"
"AD01","HEAD boundary","64b600a Plan S20 model input layer","VERIFIED_CONTEXT","Use the addendum only to refine the S20 implementation prompt after the S20 planning decision.","Do not implement S20 or change committed planning artifacts."
"AD02","Planning decision","AUTHORIZE_S20_IMPLEMENTATION_PROMPT","RECOGNIZED","Treat the S20 planning decision as prompt authorization only, not data-construction authorization.","Do not construct model-input data."
"AD03","Component-first GPIM","ME and NRC asset-account GPIM registers","LOCKED","Preserve the component lineage I_nominal_j -> P_K_j -> I_real_j -> GPIM survival/depletion -> K_gross_j for each asset/account j.","Do not construct aggregate capital before component GPIM registers."
"AD04","Depletion rule","Asset-account survival/depletion","LOCKED","Survival or depletion profiles must remain ME-specific and NRC-specific in the GPIM lineage.","Do not apply one primitive aggregate survival/depletion profile to total capital."
"AD05","Forbidden aggregate GPIM path","I_TOTAL -> P_TOTAL -> average depletion -> K_TOTAL","FORBIDDEN_UNLESS_COMPONENT_ADDITIVITY_PROVEN","Any independent aggregate GPIM route requires a separate proof and protocol before use.","Do not impose a total-capital GPIM profile in S20."
"AD06","Provisional aggregate","K_GROSS_GPIM_TOTAL","PROVISIONAL_COMPONENT_SUM_ONLY","S20 may only plan K_GROSS_GPIM_TOTAL = K_GROSS_GPIM_ME + K_GROSS_GPIM_NRC on common support from 1931.","Do not claim equivalence with an independently constructed NFC aggregate GPIM stock."
"AD07","Partial support","1925-1930 ME-only years","LOCKED_COMPONENT_ONLY","Retain 1925-1930 as ME component-only observations with no aggregate values.","Do not create partial-support aggregate values."
"AD08","Stock-flow consistency claim","S20 lineage validation","DOWNGRADED_TO_LINEAGE_PRESERVING","S20 validates lineage, units, support, and row-level component-sum identity only.","Do not claim S20 independently proves GPIM stock-flow consistency."
"AD09","Stronger GPIM audit","Separate audit layer","PARKED","A stronger stock-flow consistency audit would require a separate layer reopening S12D/S13 construction evidence.","Do not reopen S12D/S13 evidence inside S20."
"AD10","Weighted aggregation","GPIM value-register weights","PARKED_GPIM_WEIGHTED_AGGREGATION_PENDING_VALUE_REGISTER_PROTOCOL","Future weights must be generated from the GPIM stock-flow system itself, such as gross replacement-cost, net current-cost, or nominal investment-flow shares.","Do not construct GPIM-weighted aggregation in S20."
"AD11","Index aggregation","Tornqvist or Divisia capital index","FORBIDDEN_IN_S20","Index-number aggregation requires a separate value-register and index-number protocol.","Do not construct Tornqvist, Divisia, or similar capital indexes in S20."
"AD12","Productive-efficiency exclusion","Productive-efficiency weights","EXCLUDED","Weights may later summarize GPIM valuation or composition only.","Do not smuggle theta, productivity, productive capacity, or utilization into S20 weights."
"AD13","Implementation allowed outputs","S20 implementation prompt","ALLOWED_SCOPE","May construct preserved components, provisional common-support total, support/provenance/lineage flags, row-level identity checks, and blocked/parked ledgers.","Do not construct independent aggregate GPIM, aggregate depletion, weighted aggregate, theta, productive capacity, utilization, accumulated q, or econometric results."
"AD14","Final decision","S20 implementation with aggregation/depletion locks","AUTHORIZE_S20_IMPLEMENTATION_WITH_AGGREGATION_DEPLETION_LOCKS","Future S20 implementation prompt must incorporate this addendum as a binding amendment.","Do not proceed with S20 implementation prompt that omits these locks."
