object_id,source_layer,provider_candidate_status,blocked_or_parked_status,object_admissibility,human_review_required,can_construct_now,can_handoff_now,can_enter_model_input_preparation,can_enter_modeling,can_construct_adjusted_shaikh,gate_summary,reason,s21_decision_effect
WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE,provider_v1_candidate_status_ledger,READY_AS_BASELINE,not_blocked_or_parked,eligible_for_model_input_preparation_only,no,yes,no,yes,no,no,see S20E_CL ledgers,Preserve existing baseline; not replaced by Shaikh corporate candidate.,preserved_status_no_promotion
CORP_IMPUTED_INTEREST_ADJ,provider_v1_candidate_status_ledger,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,documentation_reconciliation_candidate,not_admissible_for_construction_documentation_only,yes,no,no,no,no,no,double_accounting=REVIEW,Expected current status for Shaikh corporate adjustment.,preserved_status_no_promotion
CORP_GVA_SHAIKH_RECONCILIATION,provider_v1_candidate_status_ledger,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,not_admissible_for_construction_documentation_only,yes,no,no,no,no,no,see S20E_CL ledgers,Must flow through GOS/NOS under stock-flow law.,preserved_status_no_promotion
CORP_GOS_SHAIKH_RECONCILIATION,provider_v1_candidate_status_ledger,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,not_admissible_for_construction_documentation_only,yes,no,no,no,no,no,see S20E_CL ledgers,Potential future robustness candidate after human review.,preserved_status_no_promotion
CORP_NOS_EBIT_SHAIKH_RECONCILIATION,provider_v1_candidate_status_ledger,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,not_admissible_for_construction_documentation_only,yes,no,no,no,no,no,see S20E_CL ledgers,"EBIT-like NOS, not corporate profit.",preserved_status_no_promotion
CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE,provider_v1_candidate_status_ledger,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,not_admissible_for_construction_documentation_only,yes,no,no,no,no,no,stock_flow=REVIEW,Bundle-level operating ladder check; conceptually coherent but not constructed or authorized.,preserved_status_no_promotion
BUSINESS_WIDE_SHAIKH_RECONCILIATION,provider_v1_candidate_status_ledger,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,not_admissible_theoretical_review_required,yes,no,no,no,no,no,see S20E_CL ledgers,Commercial-capital and noncorporate labour-equivalent blur remains unresolved.,preserved_status_no_promotion
PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE,provider_v1_candidate_status_ledger,BLOCKED_DOUBLE_COUNTING_RISK,not_blocked_or_parked,blocked_not_admissible,yes,no,no,no,no,no,see S20E_CL ledgers,"Financial corporate components are claims/appropriation channels, not productive capital.",preserved_status_no_promotion
ADD_PROFITS_TO_NOS,provider_v1_candidate_status_ledger,BLOCKED_STOCK_FLOW_INCONSISTENT,not_blocked_or_parked,blocked_not_admissible,yes,no,no,no,no,no,see S20E_CL ledgers,Violates account ladder.,preserved_status_no_promotion
PROVIDER_SOURCE_PANEL_V1,provider_v1_candidate_status_ledger,READY_AS_BASELINE,not_blocked_or_parked,eligible_for_model_input_preparation_only,no,yes,no,yes,no,no,provider validation and provenance ledgers present,Existing provider staged BEA/NIPA source observations copied into V1 source panel.,preserved_status_no_promotion
ADJUSTED_SHAIKH_CORPORATE_GVA,provider_v1_blocked_parked_ledger,not_applicable,parked,blocked_or_parked_not_admissible,yes,no,no,no,no,no,parked,Adjusted Shaikh corporate GVA is not constructed in V1.,preserved_blocked_or_parked_status
ADJUSTED_SHAIKH_CORPORATE_GOS,provider_v1_blocked_parked_ledger,not_applicable,parked,blocked_or_parked_not_admissible,yes,no,no,no,no,no,parked,Adjusted Shaikh corporate GOS is not constructed in V1.,preserved_blocked_or_parked_status
ADJUSTED_SHAIKH_CORPORATE_NOS,provider_v1_blocked_parked_ledger,not_applicable,parked,blocked_or_parked_not_admissible,yes,no,no,no,no,no,parked,Adjusted Shaikh corporate NOS is not constructed in V1.,preserved_blocked_or_parked_status
BUSINESS_WIDE_SHAIKH_OBJECTS,provider_v1_blocked_parked_ledger,not_applicable,theoretically_mixed,blocked_or_parked_not_admissible,yes,no,no,no,no,no,theoretically_mixed,Commercial capital and noncorporate boundary blur unresolved.,preserved_blocked_or_parked_status
OLD_APPENDIX_6_7_LINE_REPLICATION,provider_v1_blocked_parked_ledger,not_applicable,blocked,blocked_or_parked_not_admissible,yes,no,no,no,no,no,blocked,Historical line numbers cannot be mechanically reused.,preserved_blocked_or_parked_status
QWEN_HOUSING_PROXY_PATHS,provider_v1_blocked_parked_ledger,not_applicable,blocked,blocked_or_parked_not_admissible,yes,no,no,no,no,no,blocked,Qwen proxy paths are subordinate hypotheses and outside corporate Appendix correction.,preserved_blocked_or_parked_status
SHINY_APP,provider_v1_blocked_parked_ledger,not_applicable,parked,blocked_or_parked_not_admissible,yes,no,no,no,no,no,parked,V1 is dataset release not app pass.,preserved_blocked_or_parked_status
POST_S20_CHAPTER2_STAGES,provider_v1_blocked_parked_ledger,not_applicable,parked,blocked_or_parked_not_admissible,yes,no,no,no,no,no,parked,Chapter 2 stages are future downstream pass.,preserved_blocked_or_parked_status
ACCUMULATED_Q,provider_v1_blocked_parked_ledger,not_applicable,parked,blocked_or_parked_not_admissible,yes,no,no,no,no,no,parked,Out of provider V1 scope.,preserved_blocked_or_parked_status
PRODUCTIVE_CAPACITY,provider_v1_blocked_parked_ledger,not_applicable,parked,blocked_or_parked_not_admissible,yes,no,no,no,no,no,parked,Out of provider V1 scope.,preserved_blocked_or_parked_status
UTILIZATION,provider_v1_blocked_parked_ledger,not_applicable,parked,blocked_or_parked_not_admissible,yes,no,no,no,no,no,parked,Out of provider V1 scope.,preserved_blocked_or_parked_status
THETA_ECONOMETRICS,provider_v1_blocked_parked_ledger,not_applicable,parked,blocked_or_parked_not_admissible,yes,no,no,no,no,no,parked,Out of provider V1 scope.,preserved_blocked_or_parked_status
GPIM_RECONSTRUCTION,provider_v1_blocked_parked_ledger,not_applicable,parked,blocked_or_parked_not_admissible,yes,no,no,no,no,no,parked,Out of provider V1 scope.,preserved_blocked_or_parked_status
