"window","ecdet","K","n","m","r_trace_10","r_trace_05","r_trace_01","r_eigen_10","r_eigen_05","r_eigen_01"
"ford","const",2,49,4,0,0,0,0,0,0
"ford","const",3,49,4,0,0,0,0,0,0
"ford","const",4,49,4,0,0,0,0,0,0
"ford","const",5,49,4,0,0,0,0,0,0
"ford","none",2,49,4,0,0,0,0,0,0
"ford","none",3,49,4,0,0,0,0,0,0
"ford","none",4,49,4,0,0,0,0,0,0
"ford","none",5,49,4,0,0,0,0,0,0
"full","const",2,99,4,0,0,0,0,0,0
"full","const",3,99,4,0,0,0,0,0,0
"full","const",4,99,4,0,0,0,0,0,0
"full","const",5,99,4,0,0,0,0,0,0
"full","none",2,99,4,0,0,0,0,0,0
"full","none",3,99,4,0,0,0,0,0,0
"full","none",4,99,4,0,0,0,0,0,0
"full","none",5,99,4,0,0,0,0,0,0
"post","const",2,50,4,0,0,0,0,0,0
"post","const",3,50,4,0,0,0,0,0,0
"post","const",4,50,4,0,0,0,0,0,0
"post","const",5,50,4,0,0,0,0,0,0
"post","none",2,50,4,0,0,0,0,0,0
"post","none",3,50,4,0,0,0,0,0,0
"post","none",4,50,4,0,0,0,0,0,0
"post","none",5,50,4,0,0,0,0,0,0
