"variable_id","display_name","construction_family","s25_object_status","constructed_observation_rows","source_dataset","source_table","source_line","s26_readiness_class","s26_planning_boundary","s26_readiness_status"
"CORP_AFTER_TAX","CORP_profits_after_tax_IVA_CCAdj","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",13,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP_CFC","CORP_consumption_fixed_capital","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",2,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP_COMP","CORP_compensation_employees","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",4,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP_DIVIDENDS_NET","CORP_net_dividends","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",14,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP_GVA","CORP_gross_value_added","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",1,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP_NET_INT","CORP_net_interest_misc_payments","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",9,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP_NOS","CORP_net_operating_surplus","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",8,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP_NVA","CORP_net_value_added","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",3,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP_PAT","CORP_profits_after_tax","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",38,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP_PBT","CORP_profits_before_tax","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",37,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP_PROFITS_IVA_CC","CORP_profits_with_IVA_CCAdj","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",11,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP_TAX","CORP_taxes_corporate_income","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",12,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP_TRANSFERS_NET","CORP_business_current_transfers_net","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",10,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP_UNDISTRIBUTED","CORP_undistributed_profits_IVA_CCAdj","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",15,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_AFTER_TAX","NFC_profits_after_tax_IVA_CCAdj","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",29,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_CFC","NFC_consumption_fixed_capital","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",18,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_COMP","NFC_compensation_employees","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",20,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_DIVIDENDS_NET","NFC_net_dividends","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",30,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_GVA","NFC_gross_value_added","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",17,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_NET_INT","NFC_net_interest_misc_payments","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",25,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_NOS","NFC_net_operating_surplus","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",24,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_NVA","NFC_net_value_added","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",19,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_PAT","NFC_profits_after_tax","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",33,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_PBT","NFC_profits_before_tax","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",32,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_PROFITS_IVA_CC","NFC_profits_with_IVA_CCAdj","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",27,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_RETAINED","NFC_undistributed_profits_after_tax","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",34,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_TAX","NFC_taxes_corporate_income","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",28,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC_TRANSFERS_NET","NFC_business_current_transfers_net","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",26,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
