"variable_id","formula","status"
"ln_Y_NFC","log(Y_NFC_real)","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"ln_K_ME","log(K_real_ME_refrozen)","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"ln_K_NRC","log(K_real_NRC_refrozen)","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"ln_K_capacity","log(K_real_capacity_refrozen)","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"c_ME_NRC","ln_K_ME - ln_K_NRC","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"ME_share_capacity","K_real_ME_refrozen / K_real_capacity_refrozen","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"NRC_share_capacity","K_real_NRC_refrozen / K_real_capacity_refrozen","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"d_ln_Y_NFC","ln_Y_NFC - lag(ln_Y_NFC)","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"d_ln_K_ME","ln_K_ME - lag(ln_K_ME)","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"d_ln_K_NRC","ln_K_NRC - lag(ln_K_NRC)","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"d_ln_K_capacity","ln_K_capacity - lag(ln_K_capacity)","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"d_c_ME_NRC","c_ME_NRC - lag(c_ME_NRC)","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"omega_NFC","omega_NFC_GVA","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"d_omega_NFC","omega_NFC - lag(omega_NFC)","AUTHORIZED_BASELINE_MENU_WITH_INTEGRATION_REVIEW"
"omega_c_NFC","omega_NFC * c_ME_NRC","INTERACTION_INTEGRATION_REVIEW_REQUIRED"
"d_omega_c_NFC","omega_c_NFC - lag(omega_c_NFC)","INTERACTION_INTEGRATION_REVIEW_REQUIRED"
"omega_c_CORP_raw","omega_CORP_raw_GVA * c_ME_NRC","INTERACTION_INTEGRATION_REVIEW_REQUIRED"
