"variable_name","source_file","detected_category","allowed_role","forbidden_role","D10_status","D11_boundary_status"
"all_BEA_fixed_assets","metadata_or_ledger","all BEA fixed assets","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_EXCLUDED_FROM_BASELINE","BLOCKED_OR_PARKED"
"CORP__IPP__cfc_current_cost","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"CORP__IPP__gross_investment_current_cost","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"CORP__IPP__gross_stock_current_cost","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED"
"CORP__IPP__net_stock_current_cost","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"CORP__IPP__net_stock_quantity_index","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"CORP__IPP__official_price_index","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"CORP__IPP__retirements","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED"
"CORP__IPP__revaluation_holding_gains","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED"
"CORP__TOTAL__cfc_current_cost","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
