"variable_name","raw_value_domain","log_admissible","differencing_admissible","lagging_preserves_enough_observations","transformation_requires_new_theoretical_authorization","D11_transformation_status"
"ACCUMULATED_Q","unknown","no","no","no","yes","METADATA_ONLY"
"ADD_PROFITS_TO_NOS","unknown","no","no","no","yes","METADATA_ONLY"
"ADJUSTED_SHAIKH_CORPORATE_GOS","unknown","no","no","no","yes","METADATA_ONLY"
"ADJUSTED_SHAIKH_CORPORATE_GVA","unknown","no","no","no","yes","METADATA_ONLY"
"ADJUSTED_SHAIKH_CORPORATE_NOS","unknown","no","no","no","yes","METADATA_ONLY"
"all_BEA_fixed_assets","unknown","no","no","no","yes","METADATA_ONLY"
"BUSINESS_WIDE_SHAIKH_OBJECTS","unknown","no","no","no","yes","METADATA_ONLY"
"BUSINESS_WIDE_SHAIKH_RECONCILIATION","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__current_transfer_payments","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__current_transfer_receipts","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__dividends_paid","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__dividends_received","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__IPP__cfc_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"CORP__IPP__gross_investment_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"CORP__IPP__gross_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__IPP__net_stock_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"CORP__IPP__net_stock_quantity_index","unknown","no","no","no","no","METADATA_ONLY"
"CORP__IPP__official_price_index","unknown","no","no","no","no","METADATA_ONLY"
"CORP__IPP__retirements","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__IPP__revaluation_holding_gains","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__ME__gross_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__ME__official_price_index","unknown","no","no","no","no","METADATA_ONLY"
"CORP__ME__retirements","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__ME__revaluation_holding_gains","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__NRC__gross_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__NRC__official_price_index","unknown","no","no","no","no","METADATA_ONLY"
"CORP__NRC__retirements","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__NRC__revaluation_holding_gains","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__TOTAL__cfc_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"CORP__TOTAL__gross_investment_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"CORP__TOTAL__gross_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"CORP__TOTAL__net_stock_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"CORP__TOTAL__net_stock_quantity_index","unknown","no","no","no","no","METADATA_ONLY"
"CORP__TOTAL__official_price_index","unknown","no","no","no","no","METADATA_ONLY"
"CORP_GOS_SHAIKH_RECONCILIATION","unknown","no","no","no","no","METADATA_ONLY"
"CORP_GVA_SHAIKH_RECONCILIATION","unknown","no","no","no","no","METADATA_ONLY"
"CORP_IMPUTED_INTEREST_ADJ","unknown","no","no","no","yes","METADATA_ONLY"
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","positive","yes","yes","yes","no","READY_FOR_RATIO_OR_SHARE_USE"
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","positive","yes","yes","yes","no","READY_FOR_RATIO_OR_SHARE_USE"
"CORP_NOS_EBIT_SHAIKH_RECONCILIATION","unknown","no","no","no","no","METADATA_ONLY"
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_PROXY","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_GVA","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_NVA","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_GVA","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_NVA","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","unknown","no","no","no","no","METADATA_ONLY"
"D09_S_sensitivity_stocks","unknown","no","no","no","yes","METADATA_ONLY"
"DELTA_G_TOT","signed","no","yes","yes","no","READY_FOR_DIFFERENCE_ONLY"
"DLOG_G_TOT","signed","no","yes","yes","no","READY_FOR_DIFFERENCE_ONLY"
"DLOG_N_TOT","signed","no","yes","yes","no","READY_FOR_DIFFERENCE_ONLY"
"DOWNSTREAM__e_adj_CORP","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__e_adj_NFC","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__e_x_Kcap","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__e_x_ME","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__e_x_ME_NRC_gap","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__e_x_NRC","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__GOV_TRANS_GPIM","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__IPP_NFC_GPIM","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__K_G_NFC_KCAP_GPIM","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__K_G_NFC_ME_GPIM","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__K_G_NFC_NRC_GPIM","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__K_N_NFC_KCAP_GPIM","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__K_N_NFC_ME_GPIM","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__K_N_NFC_NRC_GPIM","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__ln_e_adj_CORP","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__ln_e_adj_NFC","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__omega_adj_CORP","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__omega_adj_NFC","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__P_K_NFC_ME_GPIM","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__P_K_NFC_NRC_GPIM","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__pi_adj_CORP","unknown","no","no","no","no","METADATA_ONLY"
"DOWNSTREAM__pi_adj_NFC","unknown","no","no","no","no","METADATA_ONLY"
"FIN__current_transfer_payments","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__current_transfer_receipts","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__dividends_paid","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__dividends_received","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__IPP__cfc_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__IPP__gross_investment_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__IPP__gross_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__IPP__net_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__IPP__net_stock_quantity_index","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__IPP__official_price_index","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__ME__cfc_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__ME__gross_investment_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__ME__gross_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__ME__net_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__ME__net_stock_quantity_index","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__ME__official_price_index","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__NRC__cfc_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__NRC__gross_investment_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__NRC__gross_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__NRC__net_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__NRC__net_stock_quantity_index","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__NRC__official_price_index","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__TOTAL__cfc_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__TOTAL__gross_investment_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
