"variable_name","accounting_layer","D10_status","D11_role","reason","can_enter_D12_baseline_design","can_enter_D12_robustness_design","excluded_from_estimation","required_reconciliation"
"ACCUMULATED_Q","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"ADD_PROFITS_TO_NOS","blocked_or_parked","BLOCKED","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"ADJUSTED_SHAIKH_CORPORATE_GOS","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"ADJUSTED_SHAIKH_CORPORATE_GVA","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"ADJUSTED_SHAIKH_CORPORATE_NOS","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"all_BEA_fixed_assets","blocked_or_parked","PARKED_EXCLUDED_FROM_BASELINE","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"BUSINESS_WIDE_SHAIKH_OBJECTS","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"BUSINESS_WIDE_SHAIKH_RECONCILIATION","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__current_transfer_payments","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__current_transfer_receipts","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__dividends_paid","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__dividends_received","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__IPP__cfc_current_cost","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP__IPP__gross_investment_current_cost","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP__IPP__gross_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__IPP__net_stock_current_cost","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP__IPP__net_stock_quantity_index","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP__IPP__official_price_index","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP__IPP__retirements","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__IPP__revaluation_holding_gains","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__ME__gross_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__ME__official_price_index","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP__ME__retirements","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__ME__revaluation_holding_gains","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__NRC__gross_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
