"variable_id","asset_block","year","value","unit","object_role","downstream_consumption_status","construction_stage","source_table","notes","chapter2_object_family","source_of_truth_role","source_of_truth_status","architecture_layer","registered_from_stage","downstream_stage_owner","transformation_applied"
"I_NOMINAL_DIRECT_ME","ME",1901,563,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1902,634,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1903,721,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1904,621,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1905,765,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1906,999,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1907,1143,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1908,637,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1909,779,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1910,958,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1911,871,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1912,1247,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1913,1462,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1914,1079,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1915,1142,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
"I_NOMINAL_DIRECT_ME","ME",1916,1863,"current_millions","DIRECT_NOMINAL_INVESTMENT_CANONICAL","BASELINE_CONSUMABLE","S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B_real_investment_flows.csv","Canonical direct nominal investment consumed without reconstruction.","capital_investment_nominal","canonical_nominal_investment_input","REGISTERED_BASELINE","S14_CH2_SOURCE_OF_TRUTH_CONSOLIDATION","S13_LOCKED_GPIM_SOURCE_OF_TRUTH_CONSUMPTION","S20_MODEL_INPUT_LAYER","none"
