"window_id","window_type","start_year","end_year","descriptive_eligible","testing_eligible","estimation_eligible"
"global_available","global",,,"yes","not_decided","not_decided"
"pre_1974","structural",,1973,"yes","not_decided","not_decided"
"post_1974","structural",1974,2025,"yes","not_decided","not_decided"
"pre_fordist","nested",,1946,"yes","not_decided","not_decided"
"fordist_core_1947_1973","nested",1947,1973,"yes","not_decided","not_decided"
"extended_fordist_bridge_1940_1978","bridge",1940,1978,"yes","not_decided","not_decided"
"post_fordist_pre_gfc_1974_2008","structural",1974,2008,"yes","not_decided","not_decided"
"mature_post_volcker_pre_gfc_1983_2008","nested",1983,2008,"yes","not_decided","not_decided"
"post_gfc_2009_2025","structural",2009,2025,"yes","not_decided","not_decided"
"post_gfc_pre_covid_2009_2019","nested",2009,2019,"yes","not_decided","not_decided"
"post_covid_configuration_2022_2025","nested",2022,2025,"yes","not_decided","not_decided"
"fordist_aftermath_1974_1978","transition",1974,1978,"yes","no","no"
"volcker_transition_1979_1982","transition",1979,1982,"yes","no","no"
"gfc_transition_2008_2009","transition",2008,2009,"yes","no","no"
"covid_transition_2020_2021","transition",2020,2021,"yes","no","no"
"volcker_event_profile_1978_1983","event profile",1978,1983,"yes","no","no"
"gfc_event_profile_2007_2010","event profile",2007,2010,"yes","no","no"
"covid_event_profile_2019_2022","event profile",2019,2022,"yes","no","no"
