"ui_requirement","status","evidence","notes"
"result object class created","PASS","csv/D12C_RESULTS_UI_VALIDATION_LEDGER.csv","D12D UI review of D12C validation ledger"
"contract fields present","PASS","csv/D12C_RESULTS_UI_VALIDATION_LEDGER.csv","D12D UI review of D12C validation ledger"
"gate fields present","PASS","csv/D12C_RESULTS_UI_VALIDATION_LEDGER.csv","D12D UI review of D12C validation ledger"
"sample fields present","PASS","csv/D12C_RESULTS_UI_VALIDATION_LEDGER.csv","D12D UI review of D12C validation ledger"
"coefficient fields present","PASS","csv/D12C_RESULTS_UI_VALIDATION_LEDGER.csv","D12D UI review of D12C validation ledger"
"auxiliary coefficients hidden by default","PASS","csv/D12C_RESULTS_UI_VALIDATION_LEDGER.csv","D12D UI review of D12C validation ledger"
"print method exists","PASS","csv/D12C_RESULTS_UI_VALIDATION_LEDGER.csv","D12D UI review of D12C validation ledger"
"print method contract-first","PASS","csv/D12C_RESULTS_UI_VALIDATION_LEDGER.csv","D12D UI review of D12C validation ledger"
"model cards written","PASS","csv/D12C_RESULTS_UI_VALIDATION_LEDGER.csv","D12D UI review of D12C validation ledger"
"coefficient ledgers marked preliminary","PASS","csv/D12C_RESULTS_UI_VALIDATION_LEDGER.csv","D12D UI review of D12C validation ledger"
