"contract_item","status","evidence_file","evidence_field","notes"
"D12C terminal decision authorizes D12D","PASS","D12C_TERMINAL_DECISION.md","terminal decision","D12D review of existing D12C artifact only"
"D12C validation passed","PASS","csv/D12C_VALIDATION_CHECKS.csv","status","D12D review of existing D12C artifact only"
"manual RDOLS wrapper used","PASS","codes/US_D12C_controlled_preliminary_rdols_estimation.R","function_name","D12D review of existing D12C artifact only"
"cointRegD not used as interacted baseline engine","PASS","codes/US_D12C_controlled_preliminary_rdols_estimation.R","source text","D12D review of existing D12C artifact only"
"q_omega remained parked","PASS","csv/D12C_RDOLS_GATE_STATUS_LEDGER.csv","qomega_gate","D12D review of existing D12C artifact only"
"FM-OLS not used as nonlinear/interacted baseline","PASS","codes/US_D12C_controlled_preliminary_rdols_estimation.R","source text","D12D review of existing D12C artifact only"
"IM-OLS not used as nonlinear/interacted baseline","PASS","codes/US_D12C_controlled_preliminary_rdols_estimation.R","source text","D12D review of existing D12C artifact only"
"unrestricted DOLS interaction dynamics not used","PASS","csv/D12C_RDOLS_GATE_STATUS_LEDGER.csv","interaction_gate","D12D review of existing D12C artifact only"
"productive-capacity reconstruction not run","PASS","codes/US_D12C_controlled_preliminary_rdols_estimation.R","source text","D12D review of existing D12C artifact only"
"utilization reconstruction not run","PASS","codes/US_D12C_controlled_preliminary_rdols_estimation.R","source text","D12D review of existing D12C artifact only"
"elasticity recovery not run","PASS","codes/US_D12C_controlled_preliminary_rdols_estimation.R","source text","D12D review of existing D12C artifact only"
"all coefficient outputs marked controlled preliminary","PASS","csv/D12C_RDOLS_COEFFICIENT_LEDGER.csv","preliminary_status","D12D review of existing D12C artifact only"
"results UI contract-first","PASS","csv/D12C_RESULTS_UI_VALIDATION_LEDGER.csv","validation_item/status","D12D review of existing D12C artifact only"
"auxiliary dynamic coefficients hidden by default","PASS","csv/D12C_RDOLS_AUXILIARY_COEFFICIENT_LEDGER.csv","shown_by_default","D12D review of existing D12C artifact only"
