"object_id","status","reason"
"INDEPENDENT_AGGREGATE_GPIM_STOCK","EXCLUDED","S20 may derive only component-sum K_GROSS_GPIM_TOTAL from S14 component registers."
"AGGREGATE_SURVIVAL_DEPLETION_PROFILE","EXCLUDED","Survival/depletion remains asset-account-specific."
"GPIM_WEIGHTED_CAPITAL_AGGREGATE","PARKED_GPIM_WEIGHTED_AGGREGATION_PENDING_VALUE_REGISTER_PROTOCOL","Future weights require a separate GPIM value-register protocol."
"TORNQVIST_CAPITAL_INDEX","EXCLUDED","Index-number aggregation is outside S20."
"DIVISIA_CAPITAL_INDEX","EXCLUDED","Index-number aggregation is outside S20."
"PRODUCTIVE_EFFICIENCY_WEIGHTED_STOCK","EXCLUDED","No weights may encode theta, productivity, productive capacity, or utilization."
"THETA_T","EXCLUDED","S20 prepares inputs only."
"PRODUCTIVE_CAPACITY_Y_P","EXCLUDED","S20 prepares inputs only."
"CAPACITY_UTILIZATION_MU","EXCLUDED","S20 prepares inputs only."
"ACCUMULATED_Q","ACCUMULATED_Q_PARKED_S21_CLOSED","Accumulated q remains parked."
"S21_ACCUMULATED_Q_LAYER","ACCUMULATED_Q_PARKED_S21_CLOSED","S20 does not authorize S21."
"IPP_FRONTIER_CONDITIONER","PARKED_CONTROL_CONDITIONERS","Future control candidate only; not baseline productive capital."
"GOV_TRANS_FRONTIER_CONDITIONER","PARKED_CONTROL_CONDITIONERS","Future control candidate only; not baseline productive capital."
"SHAIKH_ADJUSTED_DISTRIBUTION_OBJECTS","BLOCKED_PENDING_CROSSWALK_AND_DATA","Requires current-release data and semantic/accounting crosswalk."
"FAAt402_BASELINE_PROMOTION","EXCLUDED_VALIDATION_ONLY_HISTORICAL_CONTEXT","FAAt402 remains validation-only."
"DIAGNOSTIC_NET_VALUE_GPIM_STOCK","EXCLUDED","Diagnostic net-value GPIM stock remains excluded."
"NFC_OUTPUT_PRICE_TRANSLATION_BASELINE","EXCLUDED_ROBUSTNESS_ONLY_HISTORICAL_CONTEXT","NFC output-price translation remains robustness-only."
