"target_variable","object_family","construction_stage","required_inputs","input_source_files","provider_variable_ids","price_object_used","baseline_or_robustness","construction_formula","allowed_status","blocked_reason","validation_rule","downstream_stage_owner","notes"
"P_Y_NFC_GVA_IMPLICIT_SOURCE","output_price","S12_source_of_truth_construction","NIPA T11400 / 17 A455RC + 41 B455RX","output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","gva_current_nfc; gva_real_or_qindex_nfc; gva_price_or_deflator_nfc","P_Y_NFC_GVA_IMPLICIT_SOURCE","baseline","100 * T11400_line17_current_dollar_NFC_GVA / T11400_line41_chained_dollar_NFC_GVA, after harmonizing units","construction_ready","","compare against T11500_line1_A455RD scaled consistently","S12_source_of_truth","deflate NFC GVA baseline where same-boundary NFC output price is required | do not use as CORP or FC deflator | available only for the NFC boundary"
"P_Y_NFC_GVA_T115_VALIDATION","output_price","S12_source_of_truth_validation","NIPA T11500 / 1 A455RD","output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","T11500 line 1 A455RD (S11C validation metadata)","P_Y_NFC_GVA_T115_VALIDATION","validation","retain the published price-per-unit series and scale consistently for comparison","validation_ready","","must track the T11400 line 17 divided by line 41 ratio within published precision","S12_source_of_truth","validate P_Y_NFC_GVA_IMPLICIT_SOURCE | do not replace baseline derivation; do not use as CORP/FC deflator | validation counterpart, not an independent deflator"
"P_Y_PROXY_GDP_IMPLICIT","output_price_proxy","S12_source_of_truth_robustness","A191RD3A086NBEA / A191RD3A086NBEA","output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","","P_Y_PROXY_GDP_IMPLICIT","robustness","import annual GDP implicit price-deflator index without changing its source label","robustness_ready","","compare robustness results with the NFC baseline normalization","S12_source_of_truth","robustness deflator only | do not relabel as same-boundary CORP/FC GVA deflator | macro economy-wide boundary, includes households, government, and noncorporate activity"
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","output_price_proxy","S12_source_of_truth_robustness","B358RG3A086NBEA / B358RG3A086NBEA","output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","robustness","import annual nonfarm-business GVA chain-type price index","robustness_ready","","compare robustness results with the NFC baseline normalization","S12_source_of_truth","robustness deflator only | do not relabel as same-boundary CORP/FC GVA deflator | nearer to production/business output but not corporate legal-form boundary"
"P_Y_PROXY_BUSINESS_OUTPUT","output_price_proxy","S12_source_of_truth_robustness","IPDBS / IPDBS","output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","","P_Y_PROXY_BUSINESS_OUTPUT","robustness","import BLS business-sector value-added output price deflator","robustness_ready","","compare robustness results with the NFC baseline normalization","S12_source_of_truth","robustness deflator only | do not relabel as same-boundary CORP/FC GVA deflator | nearer to production/business output but not corporate legal-form boundary"
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","output_price_proxy","S12_source_of_truth_robustness","IPDNBS / IPDNBS","output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","robustness","import BLS nonfarm-business value-added output price deflator","robustness_ready","","compare robustness results with the NFC baseline normalization","S12_source_of_truth","robustness deflator only | do not relabel as same-boundary CORP/FC GVA deflator | nearer to production/business output but not corporate legal-form boundary"
"P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","output_price_proxy","S12_source_of_truth_robustness","GDPByIndustry TableID 11 / Industry 52","output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","","P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","robustness","import the BEA GDPByIndustry finance-and-insurance value-added chain-type price index","robustness_ready","","compare as an industry-boundary sensitivity only","S12_source_of_truth","robustness deflator only | do not relabel as same-boundary CORP/FC GVA deflator | industry boundary, not corporate legal-form boundary"
"P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","output_price_proxy","S12_source_of_truth_robustness","GDPByIndustry TableID 11 / Industry 31G","output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","","P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","robustness","import the BEA GDPByIndustry manufacturing value-added chain-type price index","robustness_ready","","compare as a narrow goods-producing sensitivity only","S12_source_of_truth","robustness deflator only | do not relabel as same-boundary CORP/FC GVA deflator | industry boundary, not corporate legal-form boundary"
"Y_REAL_NFC_GVA_BASELINE","real_output","S12_real_output_construction","NFC current-dollar GVA and same-boundary NFC implicit GVA deflator","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md; output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","gva_current_nfc; gva_real_or_qindex_nfc; gva_price_or_deflator_nfc","P_Y_NFC_GVA_IMPLICIT_SOURCE","baseline","100 * gva_current_nfc / P_Y_NFC_GVA_IMPLICIT_SOURCE after harmonizing units and index scale","construction_planned","Observation payload is not included in the provider handoff bundle.","Compare with direct T11400 line 41 chained-dollar NFC GVA and preserve the NFC boundary.","S12_source_of_truth","No CORP or FC substitution is allowed."
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","real_output_proxy","S12_real_output_robustness","NFC current-dollar GVA and P_Y_PROXY_GDP_IMPLICIT","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md; output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","gva_current_nfc","P_Y_PROXY_GDP_IMPLICIT","robustness","100 * gva_current_nfc / P_Y_PROXY_GDP_IMPLICIT after frequency, unit, and index-base harmonization","robustness_planned","Proxy observations are not included in the provider handoff bundle.","Compare only with Y_REAL_NFC_GVA_BASELINE; retain the P_Y_PROXY source name and boundary limitation.","S12_source_of_truth","Robustness-only real-output variant; never relabel as CORP or FC real GVA."
