"check_id","input_kind","input_reference","required_for","required","present","metadata_status","observation_status","check_status","notes"
"file_provider_menu","file","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv","S12 scaffold metadata and lock validation",TRUE,TRUE,"available","metadata_only","PASS","Required local input."
"file_provider_metadata","file","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_metadata.csv","S12 scaffold metadata and lock validation",TRUE,TRUE,"available","metadata_only","PASS","Required local input."
"file_provider_status","file","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv","S12 scaffold metadata and lock validation",TRUE,TRUE,"available","metadata_only","PASS","Required local input."
"file_provider_handoff","file","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","S12 scaffold metadata and lock validation",TRUE,TRUE,"available","not_applicable","PASS","Required local input."
"file_provider_manifest","file","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/MANIFEST.csv","S12 scaffold metadata and lock validation",TRUE,TRUE,"available","not_applicable","PASS","Required local input."
"file_price_registry","file","output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","S12 scaffold metadata and lock validation",TRUE,TRUE,"available","not_applicable","PASS","Required local input."
"file_readiness_report","file","output/US/S12_SOURCE_OF_TRUTH_READINESS/md/S12_SOURCE_OF_TRUTH_READINESS.md","S12 scaffold metadata and lock validation",TRUE,TRUE,"available","not_applicable","PASS","Required local input."
"file_provenance_note","file","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","S12 scaffold metadata and lock validation",TRUE,TRUE,"available","not_applicable","PASS","Required local input."
"provider_id_gva_current_nfc","provider_variable_id","gva_current_nfc","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_bea / primitive_fetch","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_gva_real_or_qindex_nfc","provider_variable_id","gva_real_or_qindex_nfc","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_bea / primitive_fetch","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
