"variable_id","contract_status","consumer_lane","coverage_start","coverage_end","first_fully_supported_year","baseline_start_year","baseline_end_year","warmup_restriction","support_status","coverage_preserved","warmup_preserved"
"CFC_ME_GPIM_2017","DIAGNOSTIC_ONLY","diagnostic_reference",1901,2024,1925,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"CFC_NRC_GPIM_2017","DIAGNOSTIC_ONLY","diagnostic_reference",1901,2024,1931,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"CFC_RATE_N_ME","DIAGNOSTIC_ONLY","diagnostic_reference",1902,2024,1926,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"CFC_RATE_N_NRC","DIAGNOSTIC_ONLY","diagnostic_reference",1902,2024,1932,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"CFC_RATE_N_TOT","DIAGNOSTIC_ONLY","diagnostic_reference",1902,2024,1932,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"CFC_TOT_GPIM_2017","DIAGNOSTIC_ONLY","diagnostic_reference",1901,2024,1931,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"DELTA_G_ME","DIAGNOSTIC_ONLY","diagnostic_reference",1902,2024,1926,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"DELTA_G_NRC","DIAGNOSTIC_ONLY","diagnostic_reference",1902,2024,1932,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"DELTA_G_TOT","CONDITIONAL_SECONDARY","conditional_secondary",1902,2024,1932,1932,2024,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"DELTA_I_ME","DIAGNOSTIC_ONLY","diagnostic_reference",1902,2024,1926,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"DELTA_I_NRC","DIAGNOSTIC_ONLY","diagnostic_reference",1902,2024,1932,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"DELTA_I_TOT","DIAGNOSTIC_ONLY","diagnostic_reference",1902,2024,1932,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"DELTA_N_ME","DIAGNOSTIC_ONLY","diagnostic_reference",1902,2024,1926,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"DELTA_N_NRC","DIAGNOSTIC_ONLY","diagnostic_reference",1902,2024,1932,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"DELTA_N_TOT","DIAGNOSTIC_ONLY","diagnostic_reference",1902,2024,1932,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
"DLOG_G_ME","DIAGNOSTIC_ONLY","diagnostic_reference",1902,2024,1926,NA,NA,"visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","PASS","yes","yes"
