"object_name","asset","source_stage","source_file","source_description","analytical_role","included_in_S12D_B","included_in_S29C","admissibility_status","reason","conceptual_risk","empirical_risk","recommendation","notes"
"I_NOM_NFC_ME_DIRECT","ME","S12C","output/US/S12C_CAPITAL_INPUT_GPIM_PROTOCOL/csv/S12C_capital_inputs_long.csv","BEA FixedAssets direct NFC ME gross investment current-cost flow.","nominal investment flow","yes","yes","ADMISSIBLE_FOR_NOMINAL_INVESTMENT_FLOW","Direct current-cost NFC investment flow matches the ME/NRC Chapter 2 asset boundary used by S12D_B.","low","low","retain_nominal_source_object","D04 does not reselect sources."
"K_NET_CC_NFC_ME_VALIDATION","ME","S12C","output/US/S12C_CAPITAL_INPUT_GPIM_PROTOCOL/csv/S12C_capital_inputs_long.csv","Current-cost NFC ME net stock anchor.","benchmark/base-year value","yes","indirect","ADMISSIBLE_AS_SFC_ANCHOR_NOT_AS_REAL_INVESTMENT","S12D_B uses the current-cost net stock as a recursive price-recovery anchor, not as a gross real capital object.","medium","medium","audit_price_recovery_before_warmup","This anchor is where price recovery becomes conceptually binding."
"Q_K_BEAFIXEDASSETS_ME_VALIDATION","ME","S12C","output/US/S12C_CAPITAL_INPUT_GPIM_PROTOCOL/csv/S12C_capital_inputs_long.csv","BEA fixed-assets quantity index for NFC ME .","quantity object","read_for_context","no","NOT_ADMISSIBLE_AS_HEADLINE_DEFLATOR","Quantity indexes are validation or comparison objects; S12D_B did not use them as baseline deflators.","high_if_promoted","unresolved","keep_as_validation_context_only","The S12D_B script reads quantity inputs but baseline real investment is nominal divided by recovered SFC price."
"P_K_SFC_IMPL_NFC_ME","ME","S12D_B","output/US/S12D_B_GPIM_BASELINE_CONSTRUCTION/csv/S12D_B_sfc_implicit_price_indexes.csv","Recursive SFC implicit baseline price normalized to 2017=100.","price/deflator object","yes","yes","CONCEPTUALLY_HIGH_RISK_PENDING_REPAIR","The object is not a directly sourced BEA investment price. It is recursively recovered from a net-value equation and uses seed prices before the recovery span.","high","high","repair_price_recovery_before_warmup","D04 audits the recovery and seed treatment without replacing it."
"ME_INITIALIZATION_SEED_PRICE","ME","S12D_B","output/US/S12D_B_GPIM_BASELINE_CONSTRUCTION/csv/S12D_B_real_investment_flows.csv","Pre-recovery price carried at one raw initialization value and normalized by the 2017 recovered price.","seed price","yes","yes","BLOCKING_RISK_FOR_REFREEZE","Seed years are not directly recovered. They materially set early real-investment scale before the recovered SFC span.","high","high","reconstruct_price_index_before_warmup","This is a diagnostic classification only."
"I_NOM_NFC_NRC_DIRECT","NRC","S12C","output/US/S12C_CAPITAL_INPUT_GPIM_PROTOCOL/csv/S12C_capital_inputs_long.csv","BEA FixedAssets direct NFC NRC gross investment current-cost flow.","nominal investment flow","yes","yes","ADMISSIBLE_FOR_NOMINAL_INVESTMENT_FLOW","Direct current-cost NFC investment flow matches the ME/NRC Chapter 2 asset boundary used by S12D_B.","low","low","retain_nominal_source_object","D04 does not reselect sources."
"K_NET_CC_NFC_NRC_VALIDATION","NRC","S12C","output/US/S12C_CAPITAL_INPUT_GPIM_PROTOCOL/csv/S12C_capital_inputs_long.csv","Current-cost NFC NRC net stock anchor.","benchmark/base-year value","yes","indirect","ADMISSIBLE_AS_SFC_ANCHOR_NOT_AS_REAL_INVESTMENT","S12D_B uses the current-cost net stock as a recursive price-recovery anchor, not as a gross real capital object.","medium","medium","audit_price_recovery_before_warmup","This anchor is where price recovery becomes conceptually binding."
"Q_K_BEAFIXEDASSETS_NRC_VALIDATION","NRC","S12C","output/US/S12C_CAPITAL_INPUT_GPIM_PROTOCOL/csv/S12C_capital_inputs_long.csv","BEA fixed-assets quantity index for NFC NRC .","quantity object","read_for_context","no","NOT_ADMISSIBLE_AS_HEADLINE_DEFLATOR","Quantity indexes are validation or comparison objects; S12D_B did not use them as baseline deflators.","high_if_promoted","unresolved","keep_as_validation_context_only","The S12D_B script reads quantity inputs but baseline real investment is nominal divided by recovered SFC price."
"P_K_SFC_IMPL_NFC_NRC","NRC","S12D_B","output/US/S12D_B_GPIM_BASELINE_CONSTRUCTION/csv/S12D_B_sfc_implicit_price_indexes.csv","Recursive SFC implicit baseline price normalized to 2017=100.","price/deflator object","yes","yes","CONCEPTUALLY_HIGH_RISK_PENDING_REPAIR","The object is not a directly sourced BEA investment price. It is recursively recovered from a net-value equation and uses seed prices before the recovery span.","high","high","repair_price_recovery_before_warmup","D04 audits the recovery and seed treatment without replacing it."
"NRC_INITIALIZATION_SEED_PRICE","NRC","S12D_B","output/US/S12D_B_GPIM_BASELINE_CONSTRUCTION/csv/S12D_B_real_investment_flows.csv","Pre-recovery price carried at one raw initialization value and normalized by the 2017 recovered price.","seed price","yes","yes","BLOCKING_RISK_FOR_REFREEZE","Seed years are not directly recovered. They materially set early real-investment scale before the recovered SFC span.","high","high","reconstruct_price_index_before_warmup","This is a diagnostic classification only."
