"stage_id","variable_id","asset_scope","transformation_family","s29g_classification","s29g_downstream_role","s29h_contract_status","authoritative_variable_id","source_variable_id","unit","first_observed_year","last_observed_year","first_fully_supported_year","baseline_start_year","baseline_end_year","warmup_observation_count","fully_supported_observation_count","permitted_use","prohibited_use","explicit_future_authorization_required","baseline_estimation_allowed","warmup_use_allowed","contract_note"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_TOT","TOT","first_difference","AUTHORIZED_SECONDARY","productive_capital_growth_candidate","CONDITIONAL_SECONDARY","DELTA_G_TOT","G_TOT_GPIM_2017","millions_2017_dollars",1902,2024,1932,1932,2024,30,93,"secondary_growth","not_baseline_stock; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Contracted according to S29G classification and role."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_TOT","TOT","log_growth","AUTHORIZED_SECONDARY","productive_capital_growth_candidate","CONDITIONAL_SECONDARY","DLOG_G_TOT","G_TOT_GPIM_2017","log_difference",1902,2024,1932,1932,2024,30,93,"secondary_growth","not_baseline_stock; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Gross-stock growth candidate. A later stage must choose the log or arithmetic definition explicitly."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_TOT","TOT","log_growth","AUTHORIZED_SECONDARY","net_stock_robustness_candidate","CONDITIONAL_SECONDARY","DLOG_N_TOT","N_TOT_GPIM_2017","log_difference",1902,2024,1932,1932,2024,30,93,"none","not_baseline_stock; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Contracted according to S29G classification and role."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROWTH_ARITH_G_TOT","TOT","arithmetic_growth","AUTHORIZED_SECONDARY","productive_capital_growth_candidate","CONDITIONAL_SECONDARY","GROWTH_ARITH_G_TOT","G_TOT_GPIM_2017","decimal_rate",1902,2024,1932,1932,2024,30,93,"secondary_growth","not_baseline_stock; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Gross-stock growth candidate. A later stage must choose the log or arithmetic definition explicitly."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROWTH_ARITH_N_TOT","TOT","arithmetic_growth","AUTHORIZED_SECONDARY","net_stock_robustness_candidate","CONDITIONAL_SECONDARY","GROWTH_ARITH_N_TOT","N_TOT_GPIM_2017","decimal_rate",1902,2024,1932,1932,2024,30,93,"none","not_baseline_stock; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Contracted according to S29G classification and role."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","I_TOT_REAL_2017","TOT","tot_alias","AUTHORIZED_SECONDARY","investment_flow_diagnostic","CONDITIONAL_SECONDARY","I_TOT_REAL_2017","I_CORE_REAL_2017","millions_2017_dollars",1901,2024,1931,1931,2024,30,94,"accumulation_flow_diagnostic","not_baseline_stock; not_stock_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Investment is an accumulation flow and cannot substitute for the productive-capital stock."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_DLOG_G_TOT","TOT","lag1","AUTHORIZED_SECONDARY","productive_capital_lagged_growth_candidate","CONDITIONAL_SECONDARY","L1_DLOG_G_TOT","DLOG_G_TOT","log_difference",1903,2024,1933,1933,2024,30,92,"conditional_lag","not_baseline_stock; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Lag candidate only. Availability is not automatic authorization."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_DLOG_N_TOT","TOT","lag1","AUTHORIZED_SECONDARY","net_stock_robustness_candidate","CONDITIONAL_SECONDARY","L1_DLOG_N_TOT","DLOG_N_TOT","log_difference",1903,2024,1933,1933,2024,30,92,"none","not_baseline_stock; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Lag candidate only. Availability is not automatic authorization."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_LOG_G_TOT","TOT","lag1","AUTHORIZED_SECONDARY","productive_capital_lagged_level_candidate","CONDITIONAL_SECONDARY","L1_LOG_G_TOT","LOG_G_TOT_GPIM_2017","natural_log",1902,2024,1932,1932,2024,30,93,"conditional_lag","not_baseline_stock; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Lag candidate only. Availability is not automatic authorization."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_LOG_N_TOT","TOT","lag1","AUTHORIZED_SECONDARY","net_stock_robustness_candidate","CONDITIONAL_SECONDARY","L1_LOG_N_TOT","LOG_N_TOT_GPIM_2017","natural_log",1902,2024,1932,1932,2024,30,93,"none","not_baseline_stock; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Lag candidate only. Availability is not automatic authorization."
