"stage_id","variable_id","permitted_use","permitted"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_ME_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_NRC_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_RATE_N_ME","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_RATE_N_NRC","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_RATE_N_TOT","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_TOT_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_ME","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_NRC","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_TOT","secondary_growth","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_ME","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_NRC","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_TOT","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_ME","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_NRC","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_TOT","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_ME","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_NRC","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_TOT","secondary_growth","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_ME","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_NRC","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_TOT","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_ME","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_NRC","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_TOT","none","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_ME_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_NRC_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_TOT_GPIM_2017","baseline_level","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_ME","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_NRC","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_TOT","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_ME","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_NRC","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_TOT","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_N_ME","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_N_NRC","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_N_TOT","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROSS_ACCUMULATION_NET_FLOW_ME","alias_compatibility","yes"
