"stage_id","variable_id","asset_scope","s29h_contract_status","first_observed_year","last_observed_year","first_fully_supported_year","baseline_start_year","baseline_end_year","warmup_observation_count","fully_supported_observation_count","baseline_estimation_allowed","warmup_use_allowed","warmup_baseline_estimation_allowed","restriction"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_ME_GPIM_2017","ME","DIAGNOSTIC_ONLY",1901,2024,1925,NA,NA,24,100,"no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","no","Warm-up observations remain in source data but are not authorized for baseline empirical estimation."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_NRC_GPIM_2017","NRC","DIAGNOSTIC_ONLY",1901,2024,1931,NA,NA,30,94,"no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","no","Warm-up observations remain in source data but are not authorized for baseline empirical estimation."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_RATE_N_ME","ME","DIAGNOSTIC_ONLY",1902,2024,1926,NA,NA,24,99,"no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","no","Warm-up observations remain in source data but are not authorized for baseline empirical estimation."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_RATE_N_NRC","NRC","DIAGNOSTIC_ONLY",1902,2024,1932,NA,NA,30,93,"no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","no","Warm-up observations remain in source data but are not authorized for baseline empirical estimation."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_RATE_N_TOT","TOT","DIAGNOSTIC_ONLY",1902,2024,1932,NA,NA,30,93,"no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","no","Warm-up observations remain in source data but are not authorized for baseline empirical estimation."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_TOT_GPIM_2017","TOT","DIAGNOSTIC_ONLY",1901,2024,1931,NA,NA,30,94,"no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","no","Warm-up observations remain in source data but are not authorized for baseline empirical estimation."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_ME","ME","DIAGNOSTIC_ONLY",1902,2024,1926,NA,NA,24,99,"no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","no","Warm-up observations remain in source data but are not authorized for baseline empirical estimation."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_NRC","NRC","DIAGNOSTIC_ONLY",1902,2024,1932,NA,NA,30,93,"no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","no","Warm-up observations remain in source data but are not authorized for baseline empirical estimation."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_TOT","TOT","CONDITIONAL_SECONDARY",1902,2024,1932,1932,2024,30,93,"no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","no","Warm-up observations remain in source data but are not authorized for baseline empirical estimation."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_ME","ME","DIAGNOSTIC_ONLY",1902,2024,1926,NA,NA,24,99,"no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","no","Warm-up observations remain in source data but are not authorized for baseline empirical estimation."
