"stage_id","variable_id","asset_scope","transformation_family","s29g_classification","s29g_downstream_role","s29h_contract_status","authoritative_variable_id","source_variable_id","unit","first_observed_year","last_observed_year","first_fully_supported_year","baseline_start_year","baseline_end_year","warmup_observation_count","fully_supported_observation_count","permitted_use","prohibited_use","explicit_future_authorization_required","baseline_estimation_allowed","warmup_use_allowed","contract_note"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROSS_ACCUMULATION_NET_FLOW_ME","ME","gross_stock_flow_net_change","REDUNDANT_ALIAS","accounting_redundancy","ALIAS_INTERFACE_ONLY","DELTA_G_ME","I_ME_REAL_2017; RET_ME_GPIM_2017","millions_2017_dollars",1901,2024,1925,NA,NA,24,100,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Accounting net-change diagnostic is redundant with the corresponding first difference."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROSS_ACCUMULATION_NET_FLOW_NRC","NRC","gross_stock_flow_net_change","REDUNDANT_ALIAS","accounting_redundancy","ALIAS_INTERFACE_ONLY","DELTA_G_NRC","I_NRC_REAL_2017; RET_NRC_GPIM_2017","millions_2017_dollars",1901,2024,1931,NA,NA,30,94,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Accounting net-change diagnostic is redundant with the corresponding first difference."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROSS_ACCUMULATION_NET_FLOW_TOT","TOT","gross_stock_flow_net_change","REDUNDANT_ALIAS","accounting_redundancy","ALIAS_INTERFACE_ONLY","DELTA_G_TOT","I_TOT_REAL_2017; RET_TOT_GPIM_2017","millions_2017_dollars",1901,2024,1931,NA,NA,30,94,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Accounting net-change diagnostic is redundant with the corresponding first difference."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","K_GROSS_ME","ME","level_alias","REDUNDANT_ALIAS","accounting_redundancy","ALIAS_INTERFACE_ONLY","G_ME_GPIM_2017","G_ME_GPIM_2017","millions_2017_dollars",1901,2024,1925,NA,NA,24,100,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Retained only for interface compatibility; must not be used as an independent empirical object."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","K_GROSS_NRC","NRC","level_alias","REDUNDANT_ALIAS","accounting_redundancy","ALIAS_INTERFACE_ONLY","G_NRC_GPIM_2017","G_NRC_GPIM_2017","millions_2017_dollars",1901,2024,1931,NA,NA,30,94,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Retained only for interface compatibility; must not be used as an independent empirical object."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","K_GROSS_TOT","TOT","level_alias","REDUNDANT_ALIAS","accounting_redundancy","ALIAS_INTERFACE_ONLY","G_TOT_GPIM_2017","G_TOT_GPIM_2017","millions_2017_dollars",1901,2024,1931,NA,NA,30,94,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Retained only for interface compatibility; must not be used as an independent empirical object."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","K_NET_ME","ME","level_alias","REDUNDANT_ALIAS","accounting_redundancy","ALIAS_INTERFACE_ONLY","N_ME_GPIM_2017","N_ME_GPIM_2017","millions_2017_dollars",1901,2024,1925,NA,NA,24,100,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Retained only for interface compatibility; must not be used as an independent empirical object."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","K_NET_NRC","NRC","level_alias","REDUNDANT_ALIAS","accounting_redundancy","ALIAS_INTERFACE_ONLY","N_NRC_GPIM_2017","N_NRC_GPIM_2017","millions_2017_dollars",1901,2024,1931,NA,NA,30,94,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Retained only for interface compatibility; must not be used as an independent empirical object."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","K_NET_TOT","TOT","level_alias","REDUNDANT_ALIAS","accounting_redundancy","ALIAS_INTERFACE_ONLY","N_TOT_GPIM_2017","N_TOT_GPIM_2017","millions_2017_dollars",1901,2024,1931,NA,NA,30,94,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Retained only for interface compatibility; must not be used as an independent empirical object."
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","NET_ACCUMULATION_NET_FLOW_ME","ME","net_stock_flow_net_change","REDUNDANT_ALIAS","accounting_redundancy","ALIAS_INTERFACE_ONLY","DELTA_N_ME","I_ME_REAL_2017; CFC_ME_GPIM_2017","millions_2017_dollars",1901,2024,1925,NA,NA,24,100,"alias_compatibility","not_baseline_stock; not_model_input; not_independent_regressor; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization","yes","no","visualization_only; historical_continuity_only; initialization_diagnostic_only; sensitivity_only","Accounting net-change diagnostic is redundant with the corresponding first difference."
