spec_id,lhs,regressors,theoretical_role,scale_term,mechanization_state,distribution_state,accumulation_increment,theta_recovery_interpretation,ovb_control_status,i_order_status,design_status,eg_status,standard_grid_status,recommended_role,notes
D0_y_kKcap,y_t,k_Kcap,baseline total capacity scale,k_Kcap,,,,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,NOT_STANDARD_AUTHORIZED,DO_NOT_ADVANCE,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D1_y_kNRC,y_t,k_NRC,NRC plant/envelope scale,k_NRC,,,,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,NOT_STANDARD_AUTHORIZED,DO_NOT_ADVANCE,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D2_y_kME,y_t,k_ME,ME scale diagnostic,k_ME,,,,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_PASS_STRONG,NOT_STANDARD_AUTHORIZED,DO_NOT_ADVANCE,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D3_y_kME_kNRC,y_t,k_ME + k_NRC,split capital-scale diagnostic,k_ME+k_NRC,,,,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,NOT_STANDARD_AUTHORIZED,DO_NOT_ADVANCE,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D4_y_kKcap_QMEshare,y_t,k_Kcap + Q_MEshare_Kcap,previous repaired mechanization path,k_Kcap,ME_share_repaired,,d_k_Kcap,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,NOT_STANDARD_AUTHORIZED,DO_NOT_ADVANCE,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D5_y_kKcap_QMEshare_omega,y_t,k_Kcap + Q_omega_MEshare_Kcap,previous repaired distribution-conditioned mechanization path,k_Kcap,ME_share_repaired,omega_NFC,d_k_Kcap,theta_t equals scale coefficient plus path coefficient times lagged distribution-mechanization state in envelope-growth interpretation.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,NOT_STANDARD_AUTHORIZED,DO_NOT_ADVANCE,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D6_y_kNRC_QMEshare_Kcap,y_t,k_NRC + Q_MEshare_Kcap,NRC envelope plus mechanization path,k_NRC,ME_share_repaired,,d_k_Kcap,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,NOT_STANDARD_AUTHORIZED,DO_NOT_ADVANCE,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D7_y_kNRC_QMEshare_NRC,y_t,k_NRC + Q_MEshare_NRC,NRC envelope plus NRC-weighted mechanization path,k_NRC,ME_share_repaired,,d_k_NRC,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,NOT_STANDARD_AUTHORIZED,DO_NOT_ADVANCE,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D8_y_kNRC_Q_ME_NRC_ratio_Kcap,y_t,k_NRC + Q_ME_NRC_ratio_Kcap,NRC envelope plus ME/NRC ratio path,k_NRC,ME_NRC_ratio_repaired,,d_k_Kcap,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,NOT_STANDARD_AUTHORIZED,CPR_OR_APPENDIX_DIAGNOSTIC,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D9_y_kNRC_Q_ME_NRC_ratio_NRC,y_t,k_NRC + Q_ME_NRC_ratio_NRC,NRC envelope plus NRC-weighted ME/NRC ratio path,k_NRC,ME_NRC_ratio_repaired,,d_k_NRC,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_NOT_RUN_ORDER_INCOMPATIBLE,NOT_STANDARD_AUTHORIZED,CPR_OR_APPENDIX_DIAGNOSTIC,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
