"schedule_id","asset_block","object_type","survival_schedule","age_price_schedule","productive_efficiency_schedule","life_parameter","weibull_shape","weibull_scale","aggregate_cfc_net_stock_rate","parameter_source","survival_equals_net_value","schedule_admissibility","baseline_lockable","reason","notes"
"SURVIVAL_ONLY_REJECTED","ME","survival_boundary_case","S(j)=exp[-(j/lambda)^alpha], lambda=L/Gamma(1+1/alpha)","V(j) = S(j)","not_constructed_separate_future_object",14,1.7,15.6907663323043,0.11603259345477,"locked Weibull survival parameters only","prohibited_boundary_case","REJECTED","FALSE","Physical survival is not a net age-price schedule; equality is shown only as a prohibited boundary case.","All schedules are diagnostic; no productive-efficiency claim."
"LINEAR_AGE_PRICE_CANDIDATE","ME","candidate_net_value_schedule","S(j)=exp[-(j/lambda)^alpha], lambda=L/Gamma(1+1/alpha)","V(j) = S(j) * max(1 - j/L, 0)","not_constructed_separate_future_object",14,1.7,15.6907663323043,0.11603259345477,"S12D-A candidate using locked L and alpha","FALSE","SENSITIVITY_ONLY","FALSE","Transparent finite-life candidate retained from S12D-A, but no independent age-price evidence selects straight-line value decay.","All schedules are diagnostic; no productive-efficiency claim."
"GEOMETRIC_AGE_PRICE_CANDIDATE","ME","candidate_net_value_schedule","S(j)=exp[-(j/lambda)^alpha], lambda=L/Gamma(1+1/alpha)","V(j) = S(j) * (1 - 1/L)^j","not_constructed_separate_future_object",14,1.7,15.6907663323043,0.11603259345477,"life-implied geometric rate delta = 1/L","FALSE","REQUIRES_EXTERNAL_JUSTIFICATION","FALSE","The geometric form and delta=1/L are protocol assumptions, not identified by the locked downstream observations.","All schedules are diagnostic; no productive-efficiency claim."
"BEA_STYLE_DECLINING_BALANCE_CANDIDATE","ME","candidate_net_value_schedule","S(j)=exp[-(j/lambda)^alpha], lambda=L/Gamma(1+1/alpha)","V(j) = S(j) * (1 - delta_CFC)^j","not_constructed_separate_future_object",14,1.7,15.6907663323043,0.11603259345477,"delta_CFC = median(CFC_CC/K_NET_CC) = 0.11603259","FALSE","REQUIRES_EXTERNAL_JUSTIFICATION","FALSE","Locked current-cost CFC anchors an aggregate declining-balance rate, but an aggregate CFC/net-stock ratio does not identify a vintage age-price profile or establish a BEA asset-specific depreciation form.","All schedules are diagnostic; no productive-efficiency claim."
"HYBRID_SENSITIVITY_ONLY","ME","candidate_net_value_schedule","S(j)=exp[-(j/lambda)^alpha], lambda=L/Gamma(1+1/alpha)","V(j) = S(j) * 0.5 * [max(1-j/L,0) + (1-delta_CFC)^j]","not_constructed_separate_future_object",14,1.7,15.6907663323043,0.11603259345477,"equal-weight linear/CFC-rate sensitivity blend","FALSE","SENSITIVITY_ONLY","FALSE","The blend measures schedule dependence and has no independent baseline interpretation.","All schedules are diagnostic; no productive-efficiency claim."
"SURVIVAL_ONLY_REJECTED","NRC","survival_boundary_case","S(j)=exp[-(j/lambda)^alpha], lambda=L/Gamma(1+1/alpha)","V(j) = S(j)","not_constructed_separate_future_object",30,1.6,33.4606966397767,0.0278994422786045,"locked Weibull survival parameters only","prohibited_boundary_case","REJECTED","FALSE","Physical survival is not a net age-price schedule; equality is shown only as a prohibited boundary case.","All schedules are diagnostic; no productive-efficiency claim."
"LINEAR_AGE_PRICE_CANDIDATE","NRC","candidate_net_value_schedule","S(j)=exp[-(j/lambda)^alpha], lambda=L/Gamma(1+1/alpha)","V(j) = S(j) * max(1 - j/L, 0)","not_constructed_separate_future_object",30,1.6,33.4606966397767,0.0278994422786045,"S12D-A candidate using locked L and alpha","FALSE","SENSITIVITY_ONLY","FALSE","Transparent finite-life candidate retained from S12D-A, but no independent age-price evidence selects straight-line value decay.","All schedules are diagnostic; no productive-efficiency claim."
"GEOMETRIC_AGE_PRICE_CANDIDATE","NRC","candidate_net_value_schedule","S(j)=exp[-(j/lambda)^alpha], lambda=L/Gamma(1+1/alpha)","V(j) = S(j) * (1 - 1/L)^j","not_constructed_separate_future_object",30,1.6,33.4606966397767,0.0278994422786045,"life-implied geometric rate delta = 1/L","FALSE","REQUIRES_EXTERNAL_JUSTIFICATION","FALSE","The geometric form and delta=1/L are protocol assumptions, not identified by the locked downstream observations.","All schedules are diagnostic; no productive-efficiency claim."
"BEA_STYLE_DECLINING_BALANCE_CANDIDATE","NRC","candidate_net_value_schedule","S(j)=exp[-(j/lambda)^alpha], lambda=L/Gamma(1+1/alpha)","V(j) = S(j) * (1 - delta_CFC)^j","not_constructed_separate_future_object",30,1.6,33.4606966397767,0.0278994422786045,"delta_CFC = median(CFC_CC/K_NET_CC) = 0.027899442","FALSE","REQUIRES_EXTERNAL_JUSTIFICATION","FALSE","Locked current-cost CFC anchors an aggregate declining-balance rate, but an aggregate CFC/net-stock ratio does not identify a vintage age-price profile or establish a BEA asset-specific depreciation form.","All schedules are diagnostic; no productive-efficiency claim."
"HYBRID_SENSITIVITY_ONLY","NRC","candidate_net_value_schedule","S(j)=exp[-(j/lambda)^alpha], lambda=L/Gamma(1+1/alpha)","V(j) = S(j) * 0.5 * [max(1-j/L,0) + (1-delta_CFC)^j]","not_constructed_separate_future_object",30,1.6,33.4606966397767,0.0278994422786045,"equal-weight linear/CFC-rate sensitivity blend","FALSE","SENSITIVITY_ONLY","FALSE","The blend measures schedule dependence and has no independent baseline interpretation.","All schedules are diagnostic; no productive-efficiency claim."
