"asset_block","schedule_id","first_complete_vintage_year","last_recovery_year","observations","price_base_year","minimum_price_index","maximum_price_index","mean_annual_log_change_pct","max_abs_annual_log_change_pct","mean_abs_log_gap_vs_linear","max_abs_log_gap_vs_linear","mean_abs_sfc_residual_pct","max_abs_sfc_residual_pct","positive_price_path","exact_sfc_fit","schedule_admissibility","baseline_lockable","recovery_status","interpretation"
"ME","SURVIVAL_ONLY_REJECTED",1925,2024,100,2017,65.0983223064456,6988.65134319588,-4.723377876631,12.7395692550959,4.67405379237829,10.0626165504086,7.25169170353584e-15,3.13479414166677e-14,TRUE,TRUE,"REJECTED","FALSE","RECOVERED_DIAGNOSTIC_PATH","Physical survival is not a net age-price schedule; equality is shown only as a prohibited boundary case."
"ME","LINEAR_AGE_PRICE_CANDIDATE",1925,2024,100,2017,0.298026260259274,138.89623809949,6.20636448541449,19.1346032979961,0,0,7.09610246236274e-15,2.61442961343278e-14,TRUE,TRUE,"SENSITIVITY_ONLY","FALSE","RECOVERED_DIAGNOSTIC_PATH","Transparent finite-life candidate retained from S12D-A, but no independent age-price evidence selects straight-line value decay."
"ME","GEOMETRIC_AGE_PRICE_CANDIDATE",1925,2024,100,2017,6.92292179152383,141.110469250718,2.6381267285754,15.8835965797393,1.48447158528642,3.29348279633087,7.30561979150954e-15,3.12793167086036e-14,TRUE,TRUE,"REQUIRES_EXTERNAL_JUSTIFICATION","FALSE","RECOVERED_DIAGNOSTIC_PATH","The geometric form and delta=1/L are protocol assumptions, not identified by the locked downstream observations."
"ME","BEA_STYLE_DECLINING_BALANCE_CANDIDATE",1925,2024,100,2017,0.0889581014148197,154.353340023438,7.53417594011618,20.8063219620106,0.634324825348055,1.20901611603348,4.87445566466308e-15,2.15695222052184e-14,TRUE,TRUE,"REQUIRES_EXTERNAL_JUSTIFICATION","FALSE","RECOVERED_DIAGNOSTIC_PATH","Locked current-cost CFC anchors an aggregate declining-balance rate, but an aggregate CFC/net-stock ratio does not identify a vintage age-price profile or establish a BEA asset-specific depreciation form."
"ME","HYBRID_SENSITIVITY_ONLY",1925,2024,100,2017,0.159885468474454,146.619828300744,6.89004098671848,19.9906766976822,0.32560691571685,0.622723867422089,6.54440513817952e-15,2.57994383879988e-14,TRUE,TRUE,"SENSITIVITY_ONLY","FALSE","RECOVERED_DIAGNOSTIC_PATH","The blend measures schedule dependence and has no independent baseline interpretation."
"NRC","SURVIVAL_ONLY_REJECTED",1931,2024,94,2017,0.835221796233122,147.427498260061,5.51834750351751,19.1594634426845,2.22717328373782,4.74527865346766,9.40754213330719e-15,4.2408099400731e-14,TRUE,TRUE,"REJECTED","FALSE","RECOVERED_DIAGNOSTIC_PATH","Physical survival is not a net age-price schedule; equality is shown only as a prohibited boundary case."
"NRC","LINEAR_AGE_PRICE_CANDIDATE",1930,2024,95,2017,0.00756533450886168,220.565607575839,10.861140155932,26.4054347372058,0,0,8.47002228764212e-15,2.3860683798788e-14,TRUE,TRUE,"SENSITIVITY_ONLY","FALSE","RECOVERED_DIAGNOSTIC_PATH","Transparent finite-life candidate retained from S12D-A, but no independent age-price evidence selects straight-line value decay."
"NRC","GEOMETRIC_AGE_PRICE_CANDIDATE",1931,2024,94,2017,0.0517897527345322,186.903499031016,8.7928089250579,22.2102338548358,0.87698881883694,1.9372854494127,8.37255462697566e-15,2.58699709116542e-14,TRUE,TRUE,"REQUIRES_EXTERNAL_JUSTIFICATION","FALSE","RECOVERED_DIAGNOSTIC_PATH","The geometric form and delta=1/L are protocol assumptions, not identified by the locked downstream observations."
"NRC","BEA_STYLE_DECLINING_BALANCE_CANDIDATE",1931,2024,94,2017,0.0821816229005692,179.713157161424,8.24903947165273,21.7013341645119,1.10035982197857,2.40376061386543,8.0167577849845e-15,2.7940069796445e-14,TRUE,TRUE,"REQUIRES_EXTERNAL_JUSTIFICATION","FALSE","RECOVERED_DIAGNOSTIC_PATH","Locked current-cost CFC anchors an aggregate declining-balance rate, but an aggregate CFC/net-stock ratio does not identify a vintage age-price profile or establish a BEA asset-specific depreciation form."
"NRC","HYBRID_SENSITIVITY_ONLY",1931,2024,94,2017,0.0313584921657287,195.359375683319,9.38311370377827,23.4097648466319,0.647894936397374,1.43255038414231,8.5575307737791e-15,3.17604317723303e-14,TRUE,TRUE,"SENSITIVITY_ONLY","FALSE","RECOVERED_DIAGNOSTIC_PATH","The blend measures schedule dependence and has no independent baseline interpretation."
