"variable_id","display_name","sector_boundary","context_family","source_status","role","status","allowed_future_use","prohibited_use","notes"
"CORP__IPP__official_price_index","CORP_intellectual_property_products_official_price_index","CORP","IPP","requires_manual_mapping","frontier_conditioning","PARKED_FRONTIER_CONTEXT","future frontier/context/conditioning analysis after explicit authorization","K_capacity; baseline capacity capital; productive accumulation capital","Parked by D07-0 boundary lock."
"FIN__IPP__cfc_current_cost","FIN_intellectual_property_products_cfc_current_cost","FIN","IPP","staged","frontier_conditioning","PARKED_FRONTIER_CONTEXT","future frontier/context/conditioning analysis after explicit authorization","K_capacity; baseline capacity capital; productive accumulation capital","Parked by D07-0 boundary lock."
"FIN__IPP__gross_investment_current_cost","FIN_intellectual_property_products_gross_investment_current_cost","FIN","IPP","staged","frontier_conditioning","PARKED_FRONTIER_CONTEXT","future frontier/context/conditioning analysis after explicit authorization","K_capacity; baseline capacity capital; productive accumulation capital","Parked by D07-0 boundary lock."
"FIN__IPP__gross_stock_current_cost","FIN_intellectual_property_products_gross_stock_current_cost","FIN","IPP","not_available","frontier_conditioning","PARKED_FRONTIER_CONTEXT","future frontier/context/conditioning analysis after explicit authorization","K_capacity; baseline capacity capital; productive accumulation capital","Parked by D07-0 boundary lock."
"FIN__IPP__net_stock_current_cost","FIN_intellectual_property_products_net_stock_current_cost","FIN","IPP","staged","frontier_conditioning","PARKED_FRONTIER_CONTEXT","future frontier/context/conditioning analysis after explicit authorization","K_capacity; baseline capacity capital; productive accumulation capital","Parked by D07-0 boundary lock."
"FIN__IPP__net_stock_quantity_index","FIN_intellectual_property_products_net_stock_quantity_index","FIN","IPP","staged","frontier_conditioning","PARKED_FRONTIER_CONTEXT","future frontier/context/conditioning analysis after explicit authorization","K_capacity; baseline capacity capital; productive accumulation capital","Parked by D07-0 boundary lock."
"FIN__IPP__official_price_index","FIN_intellectual_property_products_official_price_index","FIN","IPP","requires_manual_mapping","frontier_conditioning","PARKED_FRONTIER_CONTEXT","future frontier/context/conditioning analysis after explicit authorization","K_capacity; baseline capacity capital; productive accumulation capital","Parked by D07-0 boundary lock."
"NFC__IPP__official_price_index","NFC_intellectual_property_products_official_price_index","NFC","IPP","requires_manual_mapping","frontier_conditioning","PARKED_FRONTIER_CONTEXT","future frontier/context/conditioning analysis after explicit authorization","K_capacity; baseline capacity capital; productive accumulation capital","Parked by D07-0 boundary lock."
"DOWNSTREAM__GOV_TRANS_GPIM","GOV_TRANS_GPIM","NFC","government_transportation","downstream_constructed_only","frontier_conditioning","PARKED_FRONTIER_CONTEXT","future frontier/context/conditioning analysis after explicit authorization","K_capacity; baseline capacity capital; productive accumulation capital","Parked by D07-0 boundary lock."
"DOWNSTREAM__IPP_NFC_GPIM","IPP_NFC_GPIM","NFC","IPP","downstream_constructed_only","frontier_conditioning","PARKED_FRONTIER_CONTEXT","future frontier/context/conditioning analysis after explicit authorization","K_capacity; baseline capacity capital; productive accumulation capital","Parked by D07-0 boundary lock."
