"variable_id","display_name","sector_boundary","candidate_family","source_status","semantic_crosswalk_status","historical_current_crosswalk_status","role","status","allowed_use","prohibited_use","notes"
"NFC_NET_INT","NFC_net_interest_misc_payments","NFC","NET_INTEREST_AND_MISC_PAYMENTS","OBSERVATION_BEARING","bounded_proxy_validated_not_exact_crosswalk","unresolved_or_not_validated","candidate_only","DIAGNOSTIC_ONLY","bounded diagnostic/proxy evidence; not exact Shaikh correction","baseline productive surplus; unvalidated adjusted corporate surplus; binding Shaikh appendix replication","Counterparty is not identified; actual and imputed components are not separated; miscellaneous payments are included; not an exact Appendix 6.7 measure."
"CORP_NET_INT","CORP_net_interest_misc_payments","CORP","NET_INTEREST_AND_MISC_PAYMENTS","OBSERVATION_BEARING","SECTOR_BOUNDARY_MISMATCH","unresolved_or_not_validated","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","candidate audit trail only","baseline productive surplus; unvalidated adjusted corporate surplus; binding Shaikh appendix replication","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L4","BankMonIntPaid_paid_financial","FIN","MONETARY_INTEREST_PAID","OBSERVATION_BEARING","SECTOR_BOUNDARY_MISMATCH","unresolved_or_not_validated","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","candidate audit trail only","baseline productive surplus; unvalidated adjusted corporate surplus; binding Shaikh appendix replication","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L28","BankMonIntPaid_received_financial","FIN","MONETARY_INTEREST_RECEIVED","OBSERVATION_BEARING","INTEREST_RECEIVED_ONLY","unresolved_or_not_validated","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","candidate audit trail only","baseline productive surplus; unvalidated adjusted corporate surplus; binding Shaikh appendix replication","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L44","BankMonIntPaid_paid_banks_credit_investment","FIN_SUBSECTOR","IMPUTED_INTEREST_PAID","OBSERVATION_BEARING","IMPUTED_INTEREST_ONLY","unresolved_or_not_validated","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","candidate audit trail only","baseline productive surplus; unvalidated adjusted corporate surplus; binding Shaikh appendix replication","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L52","BankMonIntPaid_paid_state_local","STATE_LOCAL_GOVERNMENT","IMPUTED_INTEREST_PAID","OBSERVATION_BEARING","SECTOR_BOUNDARY_MISMATCH","unresolved_or_not_validated","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","candidate audit trail only","baseline productive surplus; unvalidated adjusted corporate surplus; binding Shaikh appendix replication","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L53","CorpNFNetImpIntPaid_line53","REST_OF_WORLD","IMPUTED_INTEREST_PAID","OBSERVATION_BEARING","SECTOR_BOUNDARY_MISMATCH","unresolved_or_not_validated","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","candidate audit trail only","baseline productive surplus; unvalidated adjusted corporate surplus; binding Shaikh appendix replication","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L73","BankMonIntPaid_received_federal","FEDERAL_GOVERNMENT","IMPUTED_INTEREST_RECEIVED","OBSERVATION_BEARING","INTEREST_RECEIVED_ONLY","unresolved_or_not_validated","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","candidate audit trail only","baseline productive surplus; unvalidated adjusted corporate surplus; binding Shaikh appendix replication","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L74","CorpNFNetImpIntPaid_line74","STATE_LOCAL_GOVERNMENT","IMPUTED_INTEREST_RECEIVED","OBSERVATION_BEARING","SECTOR_BOUNDARY_MISMATCH","unresolved_or_not_validated","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","candidate audit trail only","baseline productive surplus; unvalidated adjusted corporate surplus; binding Shaikh appendix replication","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L91","BankMonIntPaid_paid_government","GOVERNMENT","IMPUTED_INTEREST_PAID","OBSERVATION_BEARING","SECTOR_BOUNDARY_MISMATCH","unresolved_or_not_validated","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","candidate audit trail only","baseline productive surplus; unvalidated adjusted corporate surplus; binding Shaikh appendix replication","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"CORP_IMPUTED_INTEREST_ADJ","Corp Imputed Interest Adj","CORPORATE_CONCEPTUAL","METADATA_ONLY_ADJUSTMENT","METADATA_ONLY","NOT_ADMISSIBLE","unresolved_or_not_validated","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","candidate audit trail only","baseline productive surplus; unvalidated adjusted corporate surplus; binding Shaikh appendix replication","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"NFC_NOS","NFC_NOS","CORP_FIN_BOUNDARY","corporate_financial_boundary_candidate","present","role_locked_not_baseline_crosswalk","not_exact_bilateral_crosswalk","surplus_accounting_ingredient","DIAGNOSTIC_ONLY","role-lock evidence; baseline authorization is recorded in the surplus scaffold, not this financial-correction ledger","replacement by after-interest or financial-residual measure","Observable productive-origin corporate surplus proxy before financial distribution."
"FIN_NOS_IMPLIED","FIN_NOS_IMPLIED","FIN","corporate_financial_boundary_candidate","present","role_locked_not_baseline_crosswalk","not_exact_bilateral_crosswalk","candidate_only","DIAGNOSTIC_ONLY","diagnostic or sensitivity evidence only","independently produced surplus; bilateral transfer rate","Financial profit form embedded in published corporate NOS; redistributed rather than independently produced surplus."
"FIN_COMP_IMPLIED","FIN_COMP_IMPLIED","FIN","corporate_financial_boundary_candidate","present","role_locked_not_baseline_crosswalk","not_exact_bilateral_crosswalk","candidate_only","DIAGNOSTIC_ONLY","diagnostic or sensitivity evidence only","financial profit; additive second profit component","Unproductive financial labor cost financed from value generated in primary productive activity."
"FIN_NVA_IMPLIED","FIN_NVA_IMPLIED","FIN","corporate_financial_boundary_candidate","present","role_locked_not_baseline_crosswalk","not_exact_bilateral_crosswalk","candidate_only","DIAGNOSTIC_ONLY","diagnostic or sensitivity evidence only","financial profit alone; independently produced value","Total financial-sector absorption of primary value; broader than financial profit."
"FIN_GVA_IMPLIED","FIN_GVA_IMPLIED","FIN","corporate_financial_boundary_candidate","present","role_locked_not_baseline_crosswalk","not_exact_bilateral_crosswalk","candidate_only","DIAGNOSTIC_ONLY","diagnostic or sensitivity evidence only","net surplus without qualification","Gross accounting residual including CFC; not current redistributed net surplus."
"NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","CORP_FIN_BOUNDARY","corporate_financial_boundary_candidate","present","role_locked_not_baseline_crosswalk","not_exact_bilateral_crosswalk","candidate_only","DIAGNOSTIC_ONLY","diagnostic or sensitivity evidence only","productive-origin surplus baseline","NFC surplus remaining after the bounded net-interest and miscellaneous-payment position."
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","CORP_FIN_BOUNDARY","corporate_financial_boundary_candidate","present","role_locked_not_baseline_crosswalk","not_exact_bilateral_crosswalk","candidate_only","DIAGNOSTIC_ONLY","diagnostic or sensitivity evidence only","fully cleaned productive-origin surplus; exact bilateral consolidation","Published corporate NOS after removing one bounded NFC financial-claims channel."
"FINANCIAL_RESIDUAL_FAMILY","FINANCIAL_RESIDUAL_FAMILY","FIN","corporate_financial_boundary_candidate","present","role_locked_not_baseline_crosswalk","not_exact_bilateral_crosswalk","candidate_only","DIAGNOSTIC_ONLY","diagnostic or sensitivity evidence only","baseline replacement; summation across decompositions","No financial residual variable may replace NFC_NOS without an explicit theory-lock revision."
