"variable_id","display_name","sector_boundary","surplus_ladder","surplus_concept","denominator_concept","wage_component","financial_sector_treatment","tax_treatment","cfc_treatment","transfer_treatment","role","status","allowed_use","prohibited_use","notes"
"NFC_GVA","NFC gross value added","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","denominator_GVA","not_applicable","excluded_productive_origin_baseline","not_applicable","gross_includes_cfc","not_applicable","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","NFC productive-origin accounting ingredient","financial-sector productive equivalence; model-ready transformation","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_NVA","NFC net value added","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","denominator_NVA","not_applicable","excluded_productive_origin_baseline","not_applicable","net_excludes_cfc","not_applicable","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","NFC productive-origin accounting ingredient","financial-sector productive equivalence; model-ready transformation","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_COMP","NFC compensation of employees","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","NONE_NOT_APPLICABLE","NFC_COMP","excluded_productive_origin_baseline","not_applicable","not_applicable","not_applicable","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","NFC productive-origin accounting ingredient","financial-sector productive equivalence; model-ready transformation","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_CFC","NFC consumption of fixed capital","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","NONE_NOT_APPLICABLE","not_applicable","excluded_productive_origin_baseline","not_applicable","cfc_component","not_applicable","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","NFC productive-origin accounting ingredient","financial-sector productive equivalence; model-ready transformation","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_NOS","NFC net operating surplus","NFC","NFC_productive_origin_baseline","NOS","NONE_NOT_APPLICABLE","not_applicable","excluded_productive_origin_baseline","pre_tax_operating_surplus","net_excludes_cfc","not_applicable","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","NFC productive-origin accounting ingredient","financial-sector productive equivalence; model-ready transformation","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_PBT","NFC profits before tax","NFC","NFC_productive_origin_baseline","PBT","NONE_NOT_APPLICABLE","not_applicable","excluded_productive_origin_baseline","before_tax","not_applicable","not_applicable","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","NFC productive-origin accounting ingredient","financial-sector productive equivalence; model-ready transformation","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_PAT","NFC profits after tax","NFC","NFC_productive_origin_baseline","PAT","NONE_NOT_APPLICABLE","not_applicable","excluded_productive_origin_baseline","after_tax","not_applicable","not_applicable","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","NFC productive-origin accounting ingredient","financial-sector productive equivalence; model-ready transformation","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_TAX","NFC corporate income taxes","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","NONE_NOT_APPLICABLE","not_applicable","excluded_productive_origin_baseline","tax_component","not_applicable","not_applicable","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","NFC productive-origin accounting ingredient","financial-sector productive equivalence; model-ready transformation","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_UNDISTRIBUTED","NFC undistributed profits with IVA and CCAdj","NFC","NFC_productive_origin_baseline","UNDISTRIBUTED_PROFITS","NONE_NOT_APPLICABLE","not_applicable","excluded_productive_origin_baseline","after_tax_retained_component","not_applicable","distribution_component","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","NFC productive-origin accounting ingredient","financial-sector productive equivalence; model-ready transformation","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_RETAINED","NFC undistributed profits after tax","NFC","NFC_productive_origin_baseline","RETAINED_PROFITS","NONE_NOT_APPLICABLE","not_applicable","excluded_productive_origin_baseline","after_tax_retained_component","not_applicable","distribution_component","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","NFC productive-origin accounting ingredient","financial-sector productive equivalence; model-ready transformation","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_NET_INT","NFC net interest and miscellaneous payments","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","NONE_NOT_APPLICABLE","not_applicable","excluded_productive_origin_baseline","not_applicable","not_applicable","financial_claims_burden_component","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","NFC productive-origin accounting ingredient","financial-sector productive equivalence; model-ready transformation","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_TRANSFERS_NET","NFC business current transfers net","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","NONE_NOT_APPLICABLE","not_applicable","excluded_productive_origin_baseline","not_applicable","not_applicable","transfer_component","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","NFC productive-origin accounting ingredient","financial-sector productive equivalence; model-ready transformation","NFC is the strict productive-origin baseline; use available direct provider names."
