"variable_id","display_name","sector_boundary","accounting_block","role","status","authorized_for_D07_level_panel","reason","required_source","required_prior_stage","notes"
"K_real_capacity_refrozen","D06 refrozen real capacity capital","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","baseline capacity-capital level object","csv/D06_capacity_refrozen_panel.csv","D06","K_capacity = ME + NRC, refrozen in D06."
"K_current_capacity_refrozen","D06 refrozen current-cost capacity capital","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","nominal/current-cost capacity-capital accounting object","csv/D06_capacity_refrozen_panel.csv","D06","Current-cost ME + NRC accounting support."
"K_real_ME_refrozen","D06 refrozen real machinery and equipment stock","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","asset-level baseline component","csv/D06_capacity_refrozen_panel.csv","D06","ME component of K_capacity."
"K_real_NRC_refrozen","D06 refrozen real nonresidential construction stock","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","asset-level baseline component","csv/D06_capacity_refrozen_panel.csv","D06","NRC component of K_capacity."
"K_current_ME_refrozen","D06 refrozen current-cost machinery and equipment stock","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","asset-level current-cost component","csv/D06_capacity_refrozen_panel.csv","D06","Current-cost ME component."
"K_current_NRC_refrozen","D06 refrozen current-cost nonresidential construction stock","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","asset-level current-cost component","csv/D06_capacity_refrozen_panel.csv","D06","Current-cost NRC component."
"I_current_ME","Current-dollar ME gross investment source ingredient","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","source nominal investment ingredient","csv/D06_asset_refrozen_gpim_panel.csv","D06","Mapped from D05/D06 asset panel."
"I_current_NRC","Current-dollar NRC gross investment source ingredient","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","source nominal investment ingredient","csv/D06_asset_refrozen_gpim_panel.csv","D06","Mapped from D05/D06 asset panel."
"I_real_ME_guardian","GPIM-guarded real ME investment ingredient","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","GPIM-guarded real investment ingredient","csv/D06_real_investment_guardian_panel.csv","D06","Constructed as I_current / (D05 pKN_guardian/100)."
"I_real_NRC_guardian","GPIM-guarded real NRC investment ingredient","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","GPIM-guarded real investment ingredient","csv/D06_real_investment_guardian_panel.csv","D06","Constructed as I_current / (D05 pKN_guardian/100)."
"pKN_ME","D06 ME guarded capital valuation price","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","valuation/provenance/accounting support","csv/D06_capacity_refrozen_panel.csv","D06","D05/D06 guarded pKN price support."
"pKN_NRC","D06 NRC guarded capital valuation price","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","valuation/provenance/accounting support","csv/D06_capacity_refrozen_panel.csv","D06","D05/D06 guarded pKN price support."
"pKN_capacity","D06 capacity weighted guarded capital valuation price","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","valuation/provenance/accounting support","csv/D06_capacity_refrozen_panel.csv","D06","Current-cost capacity divided by real capacity, scaled consistently with D06."
"Y_REAL_NFC_GVA_BASELINE","Authoritative real NFC gross value added level","NFC","output_value_added","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","baseline realized output level for D07 level/accounting panel","see output_value_added_block","S30A/provider","S30A authorizes this as the real output baseline."
"NFC_GVA","NFC gross value added","NFC","output_value_added","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","nominal NFC output/value-added accounting level","see output_value_added_block","S30A/provider","Direct provider income-account line."
"NFC_NVA","NFC net value added","NFC","output_value_added","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","nominal NFC net value-added accounting level","see output_value_added_block","S30A/provider","Direct provider income-account line."
"CORP_GVA","Corporate gross value added","CORP","output_value_added","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation and robustness level","see output_value_added_block","S30A/provider","Corporate legal boundary is reconciliation, not clean productive-origin baseline."
"CORP_NVA","Corporate net value added","CORP","output_value_added","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation and robustness level","see output_value_added_block","S30A/provider","Corporate net value-added reconciliation line."
