"variable_id","display_name","asset","nominal_or_real","role","status","D06_source_file","D06_authorization_status","allowed_use","prohibited_use","notes"
"K_real_capacity_refrozen","D06 refrozen real capacity capital","ME_PLUS_NRC","real","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","csv/D06_capacity_refrozen_panel.csv","D06_AUTHORIZED","baseline capacity-capital level object","total capital; total fixed assets; IPP; residential; government transportation baseline capital","K_capacity = ME + NRC, refrozen in D06."
"K_current_capacity_refrozen","D06 refrozen current-cost capacity capital","ME_PLUS_NRC","nominal_current_cost","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","csv/D06_capacity_refrozen_panel.csv","D06_AUTHORIZED","nominal/current-cost capacity-capital accounting object","total capital; total fixed assets; IPP; residential; government transportation baseline capital","Current-cost ME + NRC accounting support."
"K_real_ME_refrozen","D06 refrozen real machinery and equipment stock","ME","real","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","csv/D06_capacity_refrozen_panel.csv","D06_AUTHORIZED","asset-level baseline component","total capital baseline or standalone capacity replacement","ME component of K_capacity."
"K_real_NRC_refrozen","D06 refrozen real nonresidential construction stock","NRC","real","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","csv/D06_capacity_refrozen_panel.csv","D06_AUTHORIZED","asset-level baseline component","total capital baseline or standalone capacity replacement","NRC component of K_capacity."
"K_current_ME_refrozen","D06 refrozen current-cost machinery and equipment stock","ME","nominal_current_cost","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","csv/D06_capacity_refrozen_panel.csv","D06_AUTHORIZED","asset-level current-cost component","total capital baseline or standalone capacity replacement","Current-cost ME component."
"K_current_NRC_refrozen","D06 refrozen current-cost nonresidential construction stock","NRC","nominal_current_cost","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","csv/D06_capacity_refrozen_panel.csv","D06_AUTHORIZED","asset-level current-cost component","total capital baseline or standalone capacity replacement","Current-cost NRC component."
"I_current_ME","Current-dollar ME gross investment source ingredient","ME","nominal_current_cost","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","csv/D06_asset_refrozen_gpim_panel.csv","D06_AUTHORIZED","source nominal investment ingredient","model transformation; total-capital aggregation","Mapped from D05/D06 asset panel."
"I_current_NRC","Current-dollar NRC gross investment source ingredient","NRC","nominal_current_cost","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","csv/D06_asset_refrozen_gpim_panel.csv","D06_AUTHORIZED","source nominal investment ingredient","model transformation; total-capital aggregation","Mapped from D05/D06 asset panel."
"I_real_ME_guardian","GPIM-guarded real ME investment ingredient","ME","real","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","csv/D06_real_investment_guardian_panel.csv","D06_AUTHORIZED","GPIM-guarded real investment ingredient","new pKN revision or rebasing","Constructed as I_current / (D05 pKN_guardian/100)."
"I_real_NRC_guardian","GPIM-guarded real NRC investment ingredient","NRC","real","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","csv/D06_real_investment_guardian_panel.csv","D06_AUTHORIZED","GPIM-guarded real investment ingredient","new pKN revision or rebasing","Constructed as I_current / (D05 pKN_guardian/100)."
"pKN_ME","D06 ME guarded capital valuation price","ME","price_index","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","csv/D06_capacity_refrozen_panel.csv","D06_AUTHORIZED","valuation/provenance/accounting support","replacement with S12D/S29C recursive price object","D05/D06 guarded pKN price support."
"pKN_NRC","D06 NRC guarded capital valuation price","NRC","price_index","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","csv/D06_capacity_refrozen_panel.csv","D06_AUTHORIZED","valuation/provenance/accounting support","replacement with S12D/S29C recursive price object","D05/D06 guarded pKN price support."
"pKN_capacity","D06 capacity weighted guarded capital valuation price","ME_PLUS_NRC","price_index","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","csv/D06_capacity_refrozen_panel.csv","D06_AUTHORIZED","valuation/provenance/accounting support","replacement with total-capital price object","Current-cost capacity divided by real capacity, scaled consistently with D06."
