"variable_id","display_name","source_stage","source_file","sector_boundary","accounting_block","accounting_concept","nominal_or_real","source_status","constructibility_status","role","status","allowed_use","prohibited_use","notes"
"K_real_capacity_refrozen","D06 refrozen real capacity capital","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","csv/D06_capacity_refrozen_panel.csv","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","ME_PLUS_NRC","real","present","already_constructed_or_source_ingredient","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","baseline capacity-capital level object","total capital; total fixed assets; IPP; residential; government transportation baseline capital","K_capacity = ME + NRC, refrozen in D06."
"K_current_capacity_refrozen","D06 refrozen current-cost capacity capital","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","csv/D06_capacity_refrozen_panel.csv","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","ME_PLUS_NRC","nominal_current_cost","present","already_constructed_or_source_ingredient","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","nominal/current-cost capacity-capital accounting object","total capital; total fixed assets; IPP; residential; government transportation baseline capital","Current-cost ME + NRC accounting support."
"K_real_ME_refrozen","D06 refrozen real machinery and equipment stock","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","csv/D06_capacity_refrozen_panel.csv","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","ME","real","present","already_constructed_or_source_ingredient","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","asset-level baseline component","total capital baseline or standalone capacity replacement","ME component of K_capacity."
"K_real_NRC_refrozen","D06 refrozen real nonresidential construction stock","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","csv/D06_capacity_refrozen_panel.csv","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","NRC","real","present","already_constructed_or_source_ingredient","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","asset-level baseline component","total capital baseline or standalone capacity replacement","NRC component of K_capacity."
"K_current_ME_refrozen","D06 refrozen current-cost machinery and equipment stock","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","csv/D06_capacity_refrozen_panel.csv","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","ME","nominal_current_cost","present","already_constructed_or_source_ingredient","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","asset-level current-cost component","total capital baseline or standalone capacity replacement","Current-cost ME component."
"K_current_NRC_refrozen","D06 refrozen current-cost nonresidential construction stock","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","csv/D06_capacity_refrozen_panel.csv","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","NRC","nominal_current_cost","present","already_constructed_or_source_ingredient","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","asset-level current-cost component","total capital baseline or standalone capacity replacement","Current-cost NRC component."
"I_current_ME","Current-dollar ME gross investment source ingredient","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","csv/D06_asset_refrozen_gpim_panel.csv","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","ME","nominal_current_cost","present","already_constructed_or_source_ingredient","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","source nominal investment ingredient","model transformation; total-capital aggregation","Mapped from D05/D06 asset panel."
"I_current_NRC","Current-dollar NRC gross investment source ingredient","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","csv/D06_asset_refrozen_gpim_panel.csv","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","NRC","nominal_current_cost","present","already_constructed_or_source_ingredient","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","source nominal investment ingredient","model transformation; total-capital aggregation","Mapped from D05/D06 asset panel."
"I_real_ME_guardian","GPIM-guarded real ME investment ingredient","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","csv/D06_real_investment_guardian_panel.csv","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","ME","real","present","already_constructed_or_source_ingredient","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","GPIM-guarded real investment ingredient","new pKN revision or rebasing","Constructed as I_current / (D05 pKN_guardian/100)."
"I_real_NRC_guardian","GPIM-guarded real NRC investment ingredient","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","csv/D06_real_investment_guardian_panel.csv","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","NRC","real","present","already_constructed_or_source_ingredient","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","GPIM-guarded real investment ingredient","new pKN revision or rebasing","Constructed as I_current / (D05 pKN_guardian/100)."
"pKN_ME","D06 ME guarded capital valuation price","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","csv/D06_capacity_refrozen_panel.csv","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","ME","price_index","present","already_constructed_or_source_ingredient","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","valuation/provenance/accounting support","replacement with S12D/S29C recursive price object","D05/D06 guarded pKN price support."
"pKN_NRC","D06 NRC guarded capital valuation price","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","csv/D06_capacity_refrozen_panel.csv","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","NRC","price_index","present","already_constructed_or_source_ingredient","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","valuation/provenance/accounting support","replacement with S12D/S29C recursive price object","D05/D06 guarded pKN price support."
"pKN_capacity","D06 capacity weighted guarded capital valuation price","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","csv/D06_capacity_refrozen_panel.csv","NFC_CAPACITY_BOUNDARY","fixed_assets_capacity","ME_PLUS_NRC","price_index","present","already_constructed_or_source_ingredient","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","valuation/provenance/accounting support","replacement with total-capital price object","Current-cost capacity divided by real capacity, scaled consistently with D06."
"Y_REAL_NFC_GVA_BASELINE","Authoritative real NFC gross value added level","S30A_REAL_OUTPUT_FAMILY_CLOSURE","output/US/S30A_REAL_OUTPUT_FAMILY_CLOSURE/csv/S30A_primary_level_interface.csv","NFC","output_value_added","GVA","real","present","already_validated","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","baseline realized output level for D07 level/accounting panel","productive capacity; capacity utilization; corporate or financial real residual output","S30A authorizes this as the real output baseline."
"NFC_GVA","NFC gross value added","US_BEA_PROVIDER_MENU","data/external/us_bea_provider/us_bea_variable_menu_locked.csv","NFC","output_value_added","GVA","nominal","present","direct_source","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","nominal NFC output/value-added accounting level","real output unless same-boundary validated deflator is used","Direct provider income-account line."
"NFC_NVA","NFC net value added","US_BEA_PROVIDER_MENU","data/external/us_bea_provider/us_bea_variable_menu_locked.csv","NFC","output_value_added","NVA","nominal","present","direct_source","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","nominal NFC net value-added accounting level","real output by residual deflation","Direct provider income-account line."
"CORP_GVA","Corporate gross value added","US_BEA_PROVIDER_MENU","data/external/us_bea_provider/us_bea_variable_menu_locked.csv","CORP","output_value_added","GVA","nominal","present","direct_source","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation and robustness level","productive-origin baseline; real CORP output unless directly validated","Corporate legal boundary is reconciliation, not clean productive-origin baseline."
"CORP_NVA","Corporate net value added","US_BEA_PROVIDER_MENU","data/external/us_bea_provider/us_bea_variable_menu_locked.csv","CORP","output_value_added","NVA","nominal","present","direct_source","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation and robustness level","productive-origin baseline; real CORP output unless directly validated","Corporate net value-added reconciliation line."
"FIN_GVA","Financial corporate gross value added","US_BEA_PROVIDER_MENU","data/external/us_bea_provider/us_bea_variable_menu_locked.csv","FIN","output_value_added","GVA","nominal","present","direct_source","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","financial-sector accounting/correction candidate","productive-origin surplus baseline; silent productive output equivalence","Financial-sector value added is retained as transfer/reconciliation evidence."
"FIN_NVA","Financial corporate net value added","US_BEA_PROVIDER_MENU","data/external/us_bea_provider/us_bea_variable_menu_locked.csv","FIN","output_value_added","NVA","nominal","present","direct_source","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","financial-sector accounting/correction candidate","productive-origin surplus baseline; silent productive output equivalence","Financial net value added is retained as transfer/reconciliation evidence."
"gva_real_or_qindex_corp","Corporate real GVA or quantity index","S30A_REAL_OUTPUT_FAMILY_CLOSURE","output/US/S30A_REAL_OUTPUT_FAMILY_CLOSURE/csv/S30A_blocked_variable_ledger.csv","CORP","output_value_added","GVA","real","absent","blocked","blocked","BLOCKED_BOUNDARY_CONFLICT","none","residual subtraction; aggregate deflator relabeling; D07 baseline output","S30A blocks same-boundary CORP real GVA because no validated source exists."
"gva_real_or_qindex_fc","Financial corporate real GVA or quantity index","S30A_REAL_OUTPUT_FAMILY_CLOSURE","output/US/S30A_REAL_OUTPUT_FAMILY_CLOSURE/csv/S30A_blocked_variable_ledger.csv","FIN","output_value_added","GVA","real","absent","blocked","blocked","BLOCKED_BOUNDARY_CONFLICT","none","residual subtraction; aggregate deflator relabeling; D07 baseline output","S30A blocks same-boundary financial real GVA because no validated source exists."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","P_Y_NFC_GVA_IMPLICIT_SOURCE","S30A_REAL_OUTPUT_FAMILY_CLOSURE","output/US/S30A_REAL_OUTPUT_FAMILY_CLOSURE/csv/S30A_output_price_support_catalog.csv","NFC","output_value_added","deflator_or_price_support","price_index","present","same_boundary_validated","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","same-boundary NFC GVA deflation support","CORP/FIN deflator relabeling; productive capacity; capacity utilization","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
