"dependency_id","family_id","dependency_type","unresolved_item","required_resolution_stage","blocks_parallel_fanout","blocks_canonical_dataset_assembly"
"S29L_DEP_01","income_distribution","readiness_review","distribution analytical readiness review not complete","S30B","no","yes"
"S29L_DEP_02","income_distribution","primary_selection","preferred wage-share hierarchy preserved but no final variable selected","S30B","no","yes"
"S29L_DEP_03","income_distribution","robustness_selection","exploitation-rate representation preserved as alternative without final selection","S30B","no","yes"
"S29L_DEP_04","income_distribution","shaikh_restriction_lock","Shaikh-adjusted variables remain blocked unless separately authorized","S30B","no","yes"
"S29L_DEP_05","income_distribution","support_contract","family-specific support-window contract missing","S30B","no","yes"
"S29L_DEP_06","income_distribution","interface_validation_intake","downstream contract, interface, independent validation, handoff, and intake missing","S30B","no","yes"
"S29L_DEP_07","real_effective_output","sector_boundary","downstream output sector boundary not closed","S30A","no","yes"
"S29L_DEP_08","real_effective_output","official_real_output_authority","official downstream real-output authority not selected","S30A","no","yes"
"S29L_DEP_09","real_effective_output","deflator_reference_year_units","price index, reference year, and units require closure in S30A","S30A","no","yes"
"S29L_DEP_10","real_effective_output","level_log_support_aliases","level/log availability, support windows, aliases, and diagnostics require lock","S30A","no","yes"
"S29L_DEP_11","real_effective_output","diagnostic_alternatives","proxy and validation-only output objects require role classification","S30A","no","yes"
"S29L_DEP_12","real_effective_output","interface_validation_intake","downstream contract, interface, independent validation, handoff, and intake missing","S30A","no","yes"
"S29L_DEP_13","contextual_family","ipp_classification","IPP must remain outside core accumulation capital unless contextual role is locked","S30C","no","yes"
"S29L_DEP_14","contextual_family","government_transportation_classification","government transportation must remain outside core accumulation capital unless contextual role is locked","S30C","no","yes"
"S29L_DEP_15","contextual_family","provider_total_and_metadata_nonpromotion","provider TOTAL, metadata-only, blocked, and parked objects require nonpromotion lock","S30C","no","yes"
"S29L_DEP_16","release_infrastructure","canonical_schema_templates","canonical long, wide, dictionary, provenance, admissibility, support, registry schemas absent","S30D","no","yes"
"S29L_DEP_17","release_infrastructure","validation_scaffold","copy-validation, duplicate-key, unit-consistency, support, missingness audits absent","S30D","no","yes"
"S29L_DEP_18","release_infrastructure","release_manifest_templates","release manifest, SHA-256 manifest template, handoff, and decision templates absent","S30D","no","yes"
