"field_name","required","expected_format"
"task_id","yes","string"
"branch","yes","string"
"exact_base_commit","yes","full_git_sha"
"upstream_stages_consumed","yes","semicolon_list"
"files_read","yes","semicolon_list"
"scripts_created","yes","semicolon_list"
"output_directory","yes","path"
"authoritative_variables","yes","semicolon_list_or_none"
"diagnostic_variables","yes","semicolon_list_or_none"
"blocked_variables","yes","semicolon_list_or_none"
"review_required_variables","yes","semicolon_list_or_none"
"validation_result","yes","PASS_or_BLOCKED"
"final_decision","yes","authorization_or_block_decision"
"files_changed","yes","semicolon_list"
"commit_hash","yes","full_git_sha"
"push_status","yes","pushed_or_not_pushed"
"final_branch_status","yes","clean_or_known_noise_only"
"other_task_namespaces_not_modified","yes","yes_no"
"provider_repository_not_modified","yes","yes_no"
