"field_name","data_type","required"
"stage_id","character","yes"
"task_id","character","yes"
"branch","character","yes"
"base_commit","character","yes"
"result_commit","character","yes"
"validation_status","character","yes"
"decision","character","yes"
"family_status","character","yes"
"authoritative_variable_count","integer","yes"
"robustness_variable_count","integer","yes"
"conditional_variable_count","integer","yes"
"diagnostic_variable_count","integer","yes"
"alias_variable_count","integer","yes"
"metadata_only_count","integer","yes"
"blocked_variable_count","integer","yes"
"review_required_count","integer","yes"
"handoff_ready","yes_no","yes"
"consumer_intake_ready","yes_no","yes"
