"infrastructure_item","readiness_classification","evidence","required_stage"
"canonical_long_dataset","ABSENT","no authorized canonical long dataset schema found","S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD"
"canonical_wide_consultation_dataset","ABSENT","no authorized canonical wide consultation schema found","S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD"
"variable_dictionary","ABSENT","no final variable dictionary template found","S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD"
"provenance_ledger","ABSENT","no release-level provenance ledger template found","S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD"
"admissibility_ledger","ABSENT","no release-level admissibility ledger template found","S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD"
"support_window_ledger","ABSENT","no release-level support-window ledger template found","S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD"
"family_interface_registry","ABSENT","no cross-family interface registry template found","S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD"
"release_manifest","ABSENT","no final release manifest template found","S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD"
"sha256_integrity_manifest","ABSENT","no release SHA-256 manifest template found","S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD"
"independent_dataset_wide_validation","ABSENT","no dataset-wide independent validation scaffold found","S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD"
"final_release_decision","ABSENT","no final release decision template found","S30D_DATASET_RELEASE_SCHEMA_AND_VALIDATION_SCAFFOLD"
