"source_folder","file_name","file_extension","row_count","column_count","column_names","inspected_by_D11R","reason_if_not_inspected","target_variable_appears"
"D10_CLEAN","output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_validation_checks.csv","csv",37,3,"check | status | notes","yes","","no"
"D10_CLEAN","output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_variable_dictionary.csv","csv",223,17,"variable_id | display_name | family_id | concept | definition | unit | reference_year | transformation | contract_status | analytical_role | authoritative_variable_id | baseline_or_robustness | coverage_start | coverage_end | source_stage | source_commit | notes","yes","","yes"
"D10_CLEAN","output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/handoff/D10_clean_session_handoff.md","md",,,"","yes","","no"
"D10_CLEAN","output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/logs/D10_clean_rscript_stderr.log","log",,,"","no","Unsupported extension for D11R target-variable audit.","no"
"D10_CLEAN","output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/logs/D10_clean_rscript_stdout.log","log",,,"","no","Unsupported extension for D11R target-variable audit.","no"
"D10_CLEAN","output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/reports/D10_clean_decision_report.md","md",,,"","yes","","no"
"D11","output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_COINTEGRATION_READINESS_LEDGER.csv","csv",4,11,"candidate_group | variables | dependent_output_available | baseline_capital_available | overlapping_sample_window | integration_orders_compatible | I2_risk | boundary_violation | q_omega_reintroduced | transformation_readiness_adequate | D11_cointegration_readiness_status","yes","","no"
"D11","output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_D10_INPUT_DISCOVERY_LEDGER.csv","csv",16,8,"discovered_file | extension | row_count | column_count | column_names | inferred_role | consumed_by_D11 | non_consumption_reason","yes","","no"
"D11","output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_INTEGRATION_DIAGNOSTICS_LEDGER.csv","csv",38,12,"variable_name | transformation_tested | sample_start | sample_end | observations_used | test_name | deterministic_specification | lag_bandwidth_rule | statistic | p_value | diagnostic_interpretation | D11_integration_class","yes","","yes"
"D11","output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_MISSINGNESS_LEDGER.csv","csv",232,12,"variable_name | total_rows | non_missing_observations | missing_observations | percent_missing | first_non_missing_year | last_non_missing_year | leading_missing_count | trailing_missing_count | internal_missing_count | longest_missing_run | D11_missingness_status","yes","","yes"
"D11","output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_MODEL_MENU_ADMISSIBILITY_LEDGER.csv","csv",232,9,"variable_name | accounting_layer | D10_status | D11_role | reason | can_enter_D12_baseline_design | can_enter_D12_robustness_design | excluded_from_estimation | required_reconciliation","yes","","yes"
"D11","output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_QOMEGA_LEAKAGE_AUDIT.csv","csv",10,5,"file | column_or_variable_field | matched_pattern | offending_value | D11_status","yes","","no"
"D11","output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_SAMPLE_WINDOW_LEDGER.csv","csv",232,9,"variable_name | variable_group | first_available_year | last_available_year | non_missing_observations | longest_contiguous_non_missing_span | number_of_gaps | gap_years | D11_window_status","yes","","yes"
"D11","output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_THEORETICAL_BOUNDARY_AUDIT.csv","csv",127,7,"variable_name | source_file | detected_category | allowed_role | forbidden_role | D10_status | D11_boundary_status","yes","","yes"
"D11","output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_TRANSFORMATION_READINESS_LEDGER.csv","csv",232,7,"variable_name | raw_value_domain | log_admissible | differencing_admissible | lagging_preserves_enough_observations | transformation_requires_new_theoretical_authorization | D11_transformation_status","yes","","yes"
"D11","output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_VALIDATION_CHECKS.csv","csv",25,4,"check_id | check_name | status | details","yes","","no"
"D11","output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_VARIABLE_AVAILABILITY_LEDGER.csv","csv",232,11,"variable_name | source_file | observed_frequency | first_observed_period_year | last_observed_period_year | number_of_observations | number_of_non_missing_observations | percent_missing | accounting_layer | D10_status | D11_availability_status","yes","","yes"
"D11","output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/D11_README.md","md",,,"","yes","","no"
"D11","output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/D11_TERMINAL_DECISION.md","md",,,"","yes","","no"
