"anchor_id","asset_block","evidence_type","object_identified","evidence_value","evidence_source","evidence_scope","classification","baseline_lockable_without_manual_choice","distinguishes_survival_from_value","uses_faat402_as_price","uses_output_price_as_capital_price","reason","notes"
"BEA_GEOMETRIC_DEPRECIATION_PROFILE","ME","external_methodology_family","age_price_profile_family","geometric age-price decline; documented broad-asset rate 0.110","Fraumeni (1997) summary in provider docs/Weibull_Retirement_Distributions.md","ME broad asset family; detailed underlying assets vary","ROBUSTNESS_ONLY","FALSE","TRUE","FALSE","FALSE","The geometric family is explicit, but BEA's post-1997 framework does not by itself specify how to combine infinite-life geometric age-price decay with the project's separate finite Weibull survival.","Productive-efficiency profile and capital-price index remain separate objects."
"BEA_DECLINING_BALANCE_SERVICE_LIFE_PROFILE","ME","external_methodology_rate_and_service_life","depreciation_rate_and_age_price_family","L=15; R=1.65; d=R/L=0.110","existing provider docs/_legacy/dataset_pipeline.md and Fraumeni methodology summary","ME broad asset family; not a capital-price index","ROBUSTNESS_ONLY","FALSE","TRUE","FALSE","FALSE","This is the strongest explicit asset-specific age-price anchor already documented, but promoting V(j)=S(j)(1-d)^j requires a manual theory decision because survival and age-price decay are separate objects.","Productive-efficiency profile and capital-price index remain separate objects."
"CFC_NET_STOCK_IMPLIED_AGGREGATE_RATE","ME","internal_aggregate_diagnostic","aggregate_depreciation_diagnostic","median CFC_CC/K_NET_CC = 0.11603259","locked S12C FAAt404 CFC and FAAt401 net stock","ME NFC aggregate annual ratio","INSUFFICIENT_EVIDENCE","FALSE","TRUE","FALSE","FALSE","An aggregate flow/stock ratio is not a vintage age-price profile and cannot be promoted without an independently justified form.","Productive-efficiency profile and capital-price index remain separate objects."
"LIFE_IMPLIED_GEOMETRIC_DEPRECIATION_RATE","ME","internal_parameter_transformation","life_based_rate_assumption","1/L_survival = 0.071428571","locked S12C survival service life","ME physical survival parameter","SENSITIVITY_ONLY","FALSE","TRUE","FALSE","FALSE","The reciprocal of service life is a retirement-rate proxy, not an externally identified depreciation or age-price rate.","Productive-efficiency profile and capital-price index remain separate objects."
"LINEAR_AGE_PRICE_SCHEDULE","ME","internal_assumption","assumed_age_price_profile","max(1-j/L,0)","S12D-A diagnostic candidate","ME assumed finite-life profile","SENSITIVITY_ONLY","FALSE","TRUE","FALSE","FALSE","No existing external methodology evidence selects straight-line age-price decay for the baseline.","Productive-efficiency profile and capital-price index remain separate objects."
"HYBRID_SENSITIVITY_SCHEDULE","ME","internal_assumption","assumed_blended_age_price_profile","0.5*linear + 0.5*declining-balance","S12D-A2 sensitivity construction","ME diagnostic blend","SENSITIVITY_ONLY","FALSE","TRUE","FALSE","FALSE","The blend has no independent external interpretation.","Productive-efficiency profile and capital-price index remain separate objects."
"BEA_GEOMETRIC_DEPRECIATION_PROFILE","NRC","external_methodology_family","age_price_profile_family","geometric age-price decline; documented broad-asset rate 0.024","Fraumeni (1997) summary in provider docs/Weibull_Retirement_Distributions.md","NRC broad asset family; detailed underlying assets vary","ROBUSTNESS_ONLY","FALSE","TRUE","FALSE","FALSE","The geometric family is explicit, but BEA's post-1997 framework does not by itself specify how to combine infinite-life geometric age-price decay with the project's separate finite Weibull survival.","Productive-efficiency profile and capital-price index remain separate objects."
"BEA_DECLINING_BALANCE_SERVICE_LIFE_PROFILE","NRC","external_methodology_rate_and_service_life","depreciation_rate_and_age_price_family","L=38; R=0.91; d=R/L=0.024","existing provider docs/_legacy/dataset_pipeline.md and Fraumeni methodology summary","NRC broad asset family; not a capital-price index","ROBUSTNESS_ONLY","FALSE","TRUE","FALSE","FALSE","This is the strongest explicit asset-specific age-price anchor already documented, but promoting V(j)=S(j)(1-d)^j requires a manual theory decision because survival and age-price decay are separate objects.","Productive-efficiency profile and capital-price index remain separate objects."
"CFC_NET_STOCK_IMPLIED_AGGREGATE_RATE","NRC","internal_aggregate_diagnostic","aggregate_depreciation_diagnostic","median CFC_CC/K_NET_CC = 0.02789944","locked S12C FAAt404 CFC and FAAt401 net stock","NRC NFC aggregate annual ratio","INSUFFICIENT_EVIDENCE","FALSE","TRUE","FALSE","FALSE","An aggregate flow/stock ratio is not a vintage age-price profile and cannot be promoted without an independently justified form.","Productive-efficiency profile and capital-price index remain separate objects."
"LIFE_IMPLIED_GEOMETRIC_DEPRECIATION_RATE","NRC","internal_parameter_transformation","life_based_rate_assumption","1/L_survival = 0.033333333","locked S12C survival service life","NRC physical survival parameter","SENSITIVITY_ONLY","FALSE","TRUE","FALSE","FALSE","The reciprocal of service life is a retirement-rate proxy, not an externally identified depreciation or age-price rate.","Productive-efficiency profile and capital-price index remain separate objects."
"LINEAR_AGE_PRICE_SCHEDULE","NRC","internal_assumption","assumed_age_price_profile","max(1-j/L,0)","S12D-A diagnostic candidate","NRC assumed finite-life profile","SENSITIVITY_ONLY","FALSE","TRUE","FALSE","FALSE","No existing external methodology evidence selects straight-line age-price decay for the baseline.","Productive-efficiency profile and capital-price index remain separate objects."
"HYBRID_SENSITIVITY_SCHEDULE","NRC","internal_assumption","assumed_blended_age_price_profile","0.5*linear + 0.5*declining-balance","S12D-A2 sensitivity construction","NRC diagnostic blend","SENSITIVITY_ONLY","FALSE","TRUE","FALSE","FALSE","The blend has no independent external interpretation.","Productive-efficiency profile and capital-price index remain separate objects."
