"protocol_item","asset_block","status","baseline_allowed","decision","evidence","next_step","notes"
"depreciation_rate_role","ME_NRC","EXTERNAL_RATE_EVIDENCE_AVAILABLE","FALSE","Documented declining-balance rates identify value decay, not retirement, efficiency, or capital prices.","Fraumeni/BEA methodology summaries and existing project rate table.","manual_theory_review",""
"age_price_profile_role","ME_NRC","PROFILE_FAMILY_SUPPORTED_MANUAL_LOCK_REQUIRED","FALSE","A declining-balance family is supported, but combining it with finite Weibull survival requires a manual conceptual lock.","External geometric/declining-balance evidence plus project survival lock.","manual_theory_review",""
"survival_profile_role","ME_NRC","LOCKED_SEPARATE_WEIBULL_OBJECT","survival_role_only","Retain the locked Weibull survival schedules without relabeling them.","S12C L_ME/alpha_ME and L_NRC/alpha_NRC.","retain_for_future_GPIM",""
"productive_efficiency_profile_role","ME_NRC","NOT_CONSTRUCTED","FALSE","Defer productive service contribution to a separate protocol.","No productive-efficiency evidence is used.","defer",""
"capital_price_index_role","ME_NRC","CONDITIONAL_SFC_OUTPUT","FALSE","Recover the SFC implicit capital price only after the net-value schedule receives a manual lock.","S12D-A recursive recovery conditional on value weights.","blocked_pending_manual_lock",""
"ME_external_anchor","ME","PROPOSED_MANUAL_LOCK","FALSE","Proposed ME age-price rate: d_ME=0.110.","Existing project table: ME L=15, R=1.65, d=0.110.","manual_theory_review","Not activated in this pass."
"NRC_external_anchor","NRC","PROPOSED_MANUAL_LOCK","FALSE","Proposed NRC age-price rate: d_NRC=0.024.","Existing project table: NRC L=38, R=0.91, d=0.024.","manual_theory_review","Not activated in this pass."
"shared_profile_family","ME_NRC","COMMON_FAMILY_ASSET_SPECIFIC_RATES","FALSE","ME and NRC may share the declining-balance profile family but require different asset-specific rates and survival parameters.","Asset-specific evidence reviewed in the external anchor registry.","manual_theory_review","No single common rate is permitted."
"proposed_dissertation_protocol_sentence","ME_NRC","PROPOSED_MANUAL_LOCK_TEXT","FALSE","For the Chapter 2 GPIM baseline, net-value weights shall be defined separately from physical survival as V_i(j)=S_i(j)(1-d_i)^j, where S_i(j) is the locked asset-specific Weibull survival schedule and the documented declining-balance age-price rates are d_ME=0.110 and d_NRC=0.024. These rates are age-price/depreciation anchors only; they are not retirement rates, productive-efficiency profiles, FAAt402 price indexes, NFC output deflators, or final capital-price indexes.","Exact text generated by S12D-A3 for manual adoption.","manual_adoption_or_rejection","This sentence is proposed, not automatically locked."
"final_stage_gate_decision","ME_NRC","REQUIRE_MANUAL_THEORY_LOCK","FALSE","Evidence supports a precise schedule proposal, but S12D-B remains blocked until the dissertation/source-of-truth notes manually adopt or reject the proposed protocol sentence.","No schedule is automatically baseline-lockable.","manual_theory_lock_before_S12D_B","Decision B selected; decisions A, C, and D are not selected."
