shortlist_id,candidate_ar_variable,derived_from_mechanism,supporting_sources,dimension_cluster,variable_type,scale,geography,temporal_window,evidentiary_strength,translation_risk,priority_rank,why_promising,what_is_missing
ARV_001,external_financing_pressure_episode,financial_strangulation,WS_007,Inter-American order / hemispheric security doctrine; U.S. interventionism,event_variable,state,Chile / inter-American finance,1970-1973,strong,low,1,"Most direct AR payoff in the current corpus because the mechanism, observable, and Chile-facing timing already line up.","Exact institutions, dates, and comparable event coding rules."
ARV_002,inter_american_diplomatic_narrowing_marker,diplomatic_isolation,WS_007; WS_008,Inter-American order / hemispheric security doctrine; Cold War geopolitics,relational_marker,regional,Chile / inter-American system,1970-1973,strong,low,2,Multiple overlap sources already point to OAS and bilateral narrowing around Chile.,A dated episode roster and a rule for distinguishing symbolic from effective narrowing.
ARV_003,hemispheric_policy_pressure_marker,coercive_state_pressure,WS_007,Inter-American order / hemispheric security doctrine; U.S. interventionism,event_variable,regional,Chile / inter-American system,1970-1973,strong,medium,3,Harmer provides a direct overlap route from diplomatic history into codable pressure episodes.,Tighter actor-date coding and separation from adjacent diplomatic-isolation events.
ARV_004,soviet_support_channel_marker,counter_hegemonic_alignment,WS_003,Cold War geopolitics,documentary_marker,bilateral,Chile-USSR,Cold War; dated episodes pending deep read,strong,medium,4,Archival support-channel evidence gives a real hinge beyond generic alignment rhetoric.,"Episode dates, recipient channels, and a rule for when support counts as politically consequential."
ARV_005,copper_trade_channel_vulnerability_marker,trade_channel_disruption,WS_008,Cold War geopolitics; Strategic commodities / copper / resource sovereignty,relational_marker,sector,Chile copper sector,Fordist era; chapter-specific follow-up needed,weak,high,5,This is one of the few routes from the current WS pass into a copper-facing AR candidate.,"Direct embargo, trade, or shipment passages tied to specific copper channels."
ARV_006,pre_allende_policy_pressure_architecture,coercive_state_pressure,WS_015,Inter-American order / hemispheric security doctrine; U.S. interventionism,institutional_indicator,regional,Latin America with Chile relevance,1958-1961,medium,medium,6,Useful for periodizing the pressure architecture that predates the Allende years.,A cleaner link from this architecture to later Chile-specific episodes.
ARV_007,alternative_diplomatic_corridor_access,diplomatic_isolation,WS_010; WS_020,"Third World / Non-Aligned Movement / NIEO politics; Diplomatic isolation, blockade, recognition, and alliance structure",relational_marker,global,Chile relative to NAM diplomacy,1961-1973 plus summit follow-up,medium,medium,7,The current corpus does support diplomatic alternatives outside the inter-American corridor.,Chile-specific summit passages and clearer evidence that the corridor was actionable rather than symbolic.
ARV_008,nam_option_set_expansion_marker,counter_hegemonic_alignment,WS_010; WS_019,Third World / Non-Aligned Movement / NIEO politics,relational_marker,global,NAM / Third World,1954-1970s,medium,medium,8,This captures how NAM widened external strategic possibilities without assuming immediate material transmission.,A stronger Chile-facing bridge and a rule for moving from diplomatic option-set to AR relevance.
ARV_009,hemispheric_security_legitimation_marker,security_doctrine_legitimation,WS_008; WS_014,"Inter-American order / hemispheric security doctrine; Diplomatic isolation, blockade, recognition, and alliance structure",institutional_indicator,regional,Chile / inter-American system,Cold War; source-specific,medium,medium,9,This variable can organize pressure and diplomacy coding under a common legitimation layer.,"Better separation between rhetoric, doctrine, and actual coercive implementation."
ARV_010,soviet_chile_alignment_contact_density,counter_hegemonic_alignment,WS_013,Cold War geopolitics,documentary_marker,bilateral,Chile-USSR,1960s,medium,medium,10,The archival collection suggests a codable document-density measure for external alignment contacts.,Document-level extraction rules and a consistent denominator for density coding.
ARV_011,resource_sovereignty_conflict_marker,commodity_sovereignty_conflict,WS_006; WS_011,Strategic commodities / copper / resource sovereignty; Third World / Non-Aligned Movement / NIEO politics,relational_marker,cross_scalar,Chile within global commodity politics,1960s-1970s,weak,high,11,"This is the current corpus's main route into sovereignty-conflict coding, even if still weak.","Chile-specific copper passages, actor-level episodes, and a cleaner link to measurable external constraints."
