object_id,candidate_status,s22_planning_allowed,source_observation_rows,dependency_status,missing_dependency,required_before_construction,notes,resolution_question,required_evidence,can_construct_before_resolution
CORP__IPP__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
CORP__ME__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
CORP__NRC__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
CORP__TOTAL__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
FIN__IPP__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
FIN__IPP__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
FIN__ME__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
FIN__ME__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
FIN__NRC__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
FIN__NRC__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
FIN__TOTAL__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
FIN__TOTAL__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
NFC__IPP__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
NFC__ME__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
NFC__NRC__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
NFC__TOTAL__official_price_index,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
RESIDENTIAL_CAPITAL_MENU,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
INVENTORIES_MENU,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
CORP__current_transfer_payments,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
CORP__current_transfer_receipts,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
CORP__dividends_paid,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
CORP__dividends_received,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
CORP__IPP__gross_stock_current_cost,THEORETICALLY_MIXED_REVIEW_REQUIRED,no,0,missing_theoretical_boundary_resolution,theoretical boundary review,future variable construction planning approval; no construction in S22,Excluded pending conceptual review.,What sector/theoretical boundary permits this object to enter a future construction queue?,explicit theory ledger update; admissibility validation; no silent promotion from source availability,no
