"stage_id","variable_id","transformation_family","exact_formula","lag_order","formula_status","construction_status"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","CFC_RATE_N_ME","cfc_rate_diagnostic","CFC_ME_GPIM_2017 / lag1(N_ME_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","CFC_RATE_N_NRC","cfc_rate_diagnostic","CFC_NRC_GPIM_2017 / lag1(N_NRC_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","CFC_RATE_N_TOT","cfc_rate_diagnostic","CFC_TOT_GPIM_2017 / lag1(N_TOT_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","CFC_TOT_GPIM_2017","tot_alias","CFC_TOT_GPIM_2017 = CFC_CORE_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DELTA_G_ME","first_difference","DELTA_G_ME = X_t - X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DELTA_G_NRC","first_difference","DELTA_G_NRC = X_t - X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DELTA_G_TOT","first_difference","DELTA_G_TOT = X_t - X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DELTA_I_ME","first_difference","DELTA_I_ME = X_t - X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DELTA_I_NRC","first_difference","DELTA_I_NRC = X_t - X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DELTA_I_TOT","first_difference","DELTA_I_TOT = X_t - X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DELTA_N_ME","first_difference","DELTA_N_ME = X_t - X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DELTA_N_NRC","first_difference","DELTA_N_NRC = X_t - X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DELTA_N_TOT","first_difference","DELTA_N_TOT = X_t - X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DLOG_G_ME","log_growth","DLOG_G_ME = log(X_t) - log(X_t_minus_1)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DLOG_G_NRC","log_growth","DLOG_G_NRC = log(X_t) - log(X_t_minus_1)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DLOG_G_TOT","log_growth","DLOG_G_TOT = log(X_t) - log(X_t_minus_1)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DLOG_I_ME","log_growth","DLOG_I_ME = log(X_t) - log(X_t_minus_1)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DLOG_I_NRC","log_growth","DLOG_I_NRC = log(X_t) - log(X_t_minus_1)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DLOG_I_TOT","log_growth","DLOG_I_TOT = log(X_t) - log(X_t_minus_1)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DLOG_N_ME","log_growth","DLOG_N_ME = log(X_t) - log(X_t_minus_1)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DLOG_N_NRC","log_growth","DLOG_N_NRC = log(X_t) - log(X_t_minus_1)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","DLOG_N_TOT","log_growth","DLOG_N_TOT = log(X_t) - log(X_t_minus_1)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","G_TOT_GPIM_2017","tot_alias","G_TOT_GPIM_2017 = G_CORE_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GAP_ARITH_LOG_G_ME","arithmetic_log_growth_gap","GAP_ARITH_LOG_G_ME = GROWTH_ARITH_G_ME - DLOG_G_ME",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GAP_ARITH_LOG_G_NRC","arithmetic_log_growth_gap","GAP_ARITH_LOG_G_NRC = GROWTH_ARITH_G_NRC - DLOG_G_NRC",0,"PASS","constructed"
