"old_path","new_path","action","status","label_status"
"codes/US_S30I_expanded_integration_order_audit.R","codes/US_S31I_expanded_integration_order_audit.R","git_mv","renamed","obsolete_label"
"codes/US_S30I_i2_risk_and_rolling_audit_B1_E2B.R","codes/US_S31I_i2_risk_and_rolling_audit_B1_E2B.R","git_mv","renamed","obsolete_label"
"codes/US_S30I_integration_order_precheck_B1_E2B.R","codes/US_S31I_integration_order_precheck_B1_E2B.R","git_mv","renamed","obsolete_label"
"data/processed/us_s30i/us_s30i_admissibility_recommendations.csv","data/processed/us_s31i/us_s31i_admissibility_recommendations.csv","git_mv","renamed","obsolete_label"
"data/processed/us_s30i/us_s30i_candidate_audit_panel.csv","data/processed/us_s31i/us_s31i_candidate_audit_panel.csv","git_mv","renamed","obsolete_label"
"data/processed/us_s30i/us_s30i_i2_risk_ledger.csv","data/processed/us_s31i/us_s31i_i2_risk_ledger.csv","git_mv","renamed","obsolete_label"
"data/processed/us_s30i/us_s30i_integration_order_tests.csv","data/processed/us_s31i/us_s31i_integration_order_tests.csv","git_mv","renamed","obsolete_label"
"data/processed/us_s30i/us_s30i_rolling_window_audit.csv","data/processed/us_s31i/us_s31i_rolling_window_audit.csv","git_mv","renamed","obsolete_label"
"data/processed/us_s30i/us_s30i_validation_checks.csv","data/processed/us_s31i/us_s31i_validation_checks.csv","git_mv","renamed","obsolete_label"
"data/processed/us_s30i/us_s30i_variable_registry.csv","data/processed/us_s31i/us_s31i_variable_registry.csv","git_mv","renamed","obsolete_label"
"docs/results/US_S30I_ADVISOR_INTEGRATION_AUDIT_TABLES.md","docs/results/US_S31I_ADVISOR_INTEGRATION_AUDIT_TABLES.md","git_mv","renamed","obsolete_label"
"docs/validation/US_S30I_EXPANDED_INTEGRATION_ORDER_AUDIT_VALIDATION.md","docs/validation/US_S31I_EXPANDED_INTEGRATION_ORDER_AUDIT_VALIDATION.md","git_mv","renamed","obsolete_label"
