"run_tag","variable_id","variable_label","source_type","source_columns","construction_formula","used_in_spec","expected_role","test_priority","notes","deterministic_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","y_t","log real output","raw_column","y_t","input column y_t","both","dependent variable","required","S32 dependent variable.","trend_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","k_t","log aggregate capital","raw_column","k_t","input column k_t","B1","B1 long-run aggregate capital regressor","required","S32 B1 regressor.","trend_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","omega_t","profit-share distribution condition","raw_column","omega_t","input column omega_t","both","distribution conditioner","required","Required because B1 and E2B use omega-conditioned constructed regressors.","bounded_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","omega_k_t","omega_t multiplied by k_t","constructed_regressor","omega_t | k_t","omega_t * k_t","B1","B1 constructed distributive-capital regressor","required","Tested directly; S32 uses omega_k_t as B1 regressor.","trend_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","k_NRC_t","log real NRC capital envelope","constructed_regressor","K_NRC_gross_real","log(K_NRC_gross_real)","E2B","E2B NRC-envelope capital regressor","required","S32 constructs k_NRC_t from K_NRC_gross_real; S31 candidate VIF calls this k_NRC_proxy_t.","trend_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","k_ME_t","log real ME capital","constructed_regressor","K_ME_gross_real","log(K_ME_gross_real)","support_diagnostic","mechanization-gap component","support","Component for mechanization gap; not an S32 E2B RHS variable by itself.","trend_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","m_ME_NRC_t","ME/NRC mechanization log gap","derived_gap","K_ME_gross_real | K_NRC_gross_real","log(K_ME_gross_real) - log(K_NRC_gross_real)","E2B","mechanization-bias support variable","required","E2B omits m_ME_NRC_t by design, but its order matters for omega_m_ME_NRC_t.","bounded_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","omega_m_ME_NRC_t","omega_t multiplied by ME/NRC mechanization gap","constructed_regressor","omega_t | K_ME_gross_real | K_NRC_gross_real","omega_t * (log(K_ME_gross_real) - log(K_NRC_gross_real))","E2B","E2B constructed distribution-conditioned mechanization-bias regressor","required","Tested directly; S32 E2B restricted RHS regressor.","bounded_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","pK_relative_ME_NRC","ME/NRC relative investment price","optional_support","pK_relative_ME_NRC","input column pK_relative_ME_NRC","support_diagnostic","relative-price support diagnostic","support","Available support variable; not active in S32 B1/E2B pair.","bounded_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_t","direct composition share","optional_support","s_t","input column s_t","support_diagnostic","optional direct composition support","support","Column present but may be empty in the active panel.","bounded_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_t","direct composition investment share","optional_support","phi_t","input column phi_t","support_diagnostic","optional direct composition support","support","Column present but may be empty in the active panel.","bounded_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_t_proxy","ME/NRC composition-share proxy","optional_support","s_t_proxy","input column s_t_proxy","support_diagnostic","optional proxy composition support","support","Available support variable; active in prior S31/S30 composition diagnostics, not S32 B1/E2B.","bounded_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_t_proxy","ME/NRC investment-composition proxy","optional_support","phi_t_proxy","input column phi_t_proxy","support_diagnostic","optional proxy investment-composition support","support","Available support variable; active in prior S31/S30 composition diagnostics, not S32 B1/E2B.","bounded_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","s_t_proxy_cc","ME/NRC current-cost composition-share proxy","optional_support","s_t_proxy_cc","input column s_t_proxy_cc","support_diagnostic","optional current-cost composition support","support","Available support variable; active in prior S31/S30 current-cost diagnostics, not S32 B1/E2B.","bounded_family"
"S31I_INTEGRATION_ORDER_PRECHECK_B1_E2B","phi_t_proxy_cc","ME/NRC current-cost investment-composition proxy","optional_support","phi_t_proxy_cc","input column phi_t_proxy_cc","support_diagnostic","optional current-cost investment-composition support","support","Available support variable; active in prior S31/S30 current-cost diagnostics, not S32 B1/E2B.","bounded_family"
