"candidate_variable_id","candidate_label","source_system","source_dataset","source_table_or_series","source_line_or_series_id","source_title","source_description","source_units","source_frequency","source_start","source_end","source_url_or_query","output_object_type","price_object_type","boundary_type","sector_boundary_claimed","boundary_distance_from_target","target_use_case","same_boundary_match","allowed_as_baseline","allowed_as_validation","allowed_as_proxy","allowed_as_robustness","allowed_as_diagnostic","recommended_variable_name","recommended_role","decision","limitations","notes"
"nfc_gva_implicit_source","NFC GVA implicit price deflator from matching current and real GVA","BEA_API","NIPA","T11400","17 A455RC + 41 B455RX","Gross value added of nonfinancial corporate business","Source-level same-boundary implicit deflator.","Index after unit harmonization","Annual and Quarterly","1929","2025","https://apps.bea.gov/api/data/?UserID=${BEA_API_KEY}&method=GetData&DataSetName=NIPA&TableName=T11400&Frequency=A&Year=ALL&ResultFormat=JSON","GVA","implicit_price_deflator","same_boundary","NFC","exact","NFC baseline output-price normalization",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"P_Y_NFC_GVA_IMPLICIT_SOURCE","baseline_source","same_boundary_source_confirmed","Available only for NFC.","S11B-confirmed source-level derivation."
"nfc_gva_t115_validation","Price per unit of real GVA of nonfinancial corporate business","BEA_API","NIPA","T11500","1 A455RD","Price per unit of real gross value added of nonfinancial corporate business","Direct BEA validation counterpart for the NFC current/real GVA ratio.","Chained-dollar IPD ratio","Annual and Quarterly","1947","2025","https://apps.bea.gov/api/data/?UserID=${BEA_API_KEY}&method=GetData&DataSetName=NIPA&TableName=T11500&Frequency=A&Year=ALL&ResultFormat=JSON","GVA","price_per_unit","same_boundary","NFC","exact","Validate NFC implicit GVA deflator",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"P_Y_NFC_GVA_T115_VALIDATION","validation_only","validation_only_confirmed","Validation counterpart, not an independent CORP or FC deflator.","Multiply the price-per-unit ratio by 100 for index-scale comparison."
"gdp_implicit_price_deflator_annual","Gross domestic product (implicit price deflator)","FRED_API","FRED","A191RD3A086NBEA","A191RD3A086NBEA","Gross domestic product (implicit price deflator)","BEA Account Code: A191RD For more information about this series, please see http://www.bea.gov/national/.","Index 2017=100","Annual","1929-01-01","2025-01-01","https://fred.stlouisfed.org/series/A191RD3A086NBEA","GDP","implicit_price_deflator","macro_economy_wide","total economy","macro_proxy","Macro output-price robustness normalization",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"P_Y_PROXY_GDP_IMPLICIT","robustness_deflator","robustness_candidate_shortlist","Economy-wide GDP boundary includes households, government, and noncorporate activity.","Proxy classification does not alter S11B provider conclusions."
"gdp_implicit_price_deflator_quarterly","Gross Domestic Product: Implicit Price Deflator","FRED_API","FRED","GDPDEF","GDPDEF","Gross Domestic Product: Implicit Price Deflator","BEA Account Code: A191RD The number of decimal places reported varies over time. A Guide to the National Income and Product Accounts of the United States (http://www.bea.gov/national/pdf/nipaguid.pdf) (NIPA).","Index 2017=100","Quarterly","1947-01-01","2026-01-01","https://fred.stlouisfed.org/series/GDPDEF","GDP","implicit_price_deflator","macro_economy_wide","total economy","macro_proxy","Higher-frequency GDP deflator comparison",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"P_Y_PROXY_GDP_IMPLICIT_Q","diagnostic_only","diagnostic_only","Quarterly duplicate of the GDP-wide concept; annual series is preferred for robustness.","Proxy classification does not alter S11B provider conclusions."
"nonfarm_business_gva_chain_price","Gross value added: GDP: Business: Nonfarm (chain-type price index)","FRED_API","FRED","B358RG3A086NBEA","B358RG3A086NBEA","Gross value added: GDP: Business: Nonfarm (chain-type price index)","BEA Account Code: B358RG For more information about this series, please see http://www.bea.gov/national/.","Index 2017=100","Annual","1929-01-01","2025-01-01","https://fred.stlouisfed.org/series/B358RG3A086NBEA","business_output","chain_type_price_index","nonfarm_business_sector","nonfarm business","near","Business-sector output-price robustness normalization",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","robustness_deflator","proxy_candidate_shortlist","Nearer to corporate production than GDP but includes noncorporate nonfarm business.","Proxy classification does not alter S11B provider conclusions."
"bls_business_value_added_output_deflator","Business Sector: Value-Added Output Price Deflator for All Workers","BLS","BLS Labor Productivity and Costs","IPDBS","IPDBS","Business Sector: Value-Added Output Price Deflator for All Workers","","Index 2017=100","Quarterly","1947-01-01","2026-01-01","https://fred.stlouisfed.org/series/IPDBS","business_output","implicit_price_deflator","business_sector","business sector","near","BLS business-output normalization robustness",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"P_Y_PROXY_BUSINESS_OUTPUT","robustness_deflator","proxy_candidate_shortlist","BLS productivity-program business boundary is not the NIPA corporate boundary.","Proxy classification does not alter S11B provider conclusions."
"bls_nonfarm_business_value_added_output_deflator","Nonfarm Business Sector: Value-Added Output Price Deflator for All Workers","BLS","BLS Labor Productivity and Costs","IPDNBS","IPDNBS","Nonfarm Business Sector: Value-Added Output Price Deflator for All Workers","","Index 2017=100","Quarterly","1947-01-01","2026-01-01","https://fred.stlouisfed.org/series/IPDNBS","nonfarm_business_output","implicit_price_deflator","nonfarm_business_sector","nonfarm business sector","near","BLS nonfarm-business normalization robustness",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","robustness_deflator","proxy_candidate_shortlist","Excludes farms but still includes noncorporate business and does not match CORP/NFC.","Proxy classification does not alter S11B provider conclusions."
"gdpbyindustry_va_finance_price","Chain-Type Price Indexes for Value Added by Industry (A) (Q) - Finance and insurance","BEA_API","GDPByIndustry","TableID 11","52","Finance and insurance","Chain-Type Price Indexes for Value Added by Industry (A) (Q)","Chain-type price index","Annual","1997","2024","https://apps.bea.gov/api/data/?UserID=${BEA_API_KEY}&method=GetData&DataSetName=GDPByIndustry&TableID=11&Industry=52&Frequency=A&Year=ALL&ResultFormat=JSON","industry_value_added","chain_type_price_index","industry_boundary","Finance and insurance","industry_proxy","Finance-and-insurance industry price robustness",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","robustness_deflator","robustness_candidate_shortlist","NAICS industry boundary is not financial corporate business.","Official BEA industry price index; never relabel as CORP or FC GVA."
"gdpbyindustry_va_manufacturing_price","Chain-Type Price Indexes for Value Added by Industry (A) (Q) - Manufacturing","BEA_API","GDPByIndustry","TableID 11","31G","Manufacturing","Chain-Type Price Indexes for Value Added by Industry (A) (Q)","Chain-type price index","Annual","1997","2024","https://apps.bea.gov/api/data/?UserID=${BEA_API_KEY}&method=GetData&DataSetName=GDPByIndustry&TableID=11&Industry=31G&Frequency=A&Year=ALL&ResultFormat=JSON","industry_value_added","chain_type_price_index","industry_boundary","Manufacturing","industry_proxy","Goods-producing price-normalization robustness",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","robustness_deflator","robustness_candidate_shortlist","Manufacturing is a narrow industry proxy, not the NFC boundary.","Official BEA industry price index; never relabel as CORP or FC GVA."
"gdpbyindustry_go_finance_price","Chain-Type Price Indexes for Gross Output by Industry (A) (Q) - Finance and insurance","BEA_API","GDPByIndustry","TableID 18","52","Finance and insurance","Chain-Type Price Indexes for Gross Output by Industry (A) (Q)","Chain-type price index","Annual","1997","2024","https://apps.bea.gov/api/data/?UserID=${BEA_API_KEY}&method=GetData&DataSetName=GDPByIndustry&TableID=18&Industry=52&Frequency=A&Year=ALL&ResultFormat=JSON","industry_gross_output","chain_type_price_index","gross_output_boundary","Finance and insurance","gross_output_proxy","Finance gross-output price comparison",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"P_Y_PROXY_GDPBYIND_GROSS_OUTPUT_FINANCE_INSURANCE","diagnostic_only","diagnostic_only","Gross output includes intermediate transactions and is not value added.","Official BEA industry price index; never relabel as CORP or FC GVA."
