"source_queue_id","source_candidate_model_id","no_trend_candidate_model_id","window_id","grid_id","authorized_for_D12F","d12f_r_intake_status","execution_decision","notes"
"D12F_QUEUE_001","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL11","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL11","pre_1974_full","LL11",TRUE,"PASS_D12F_R_SCOPE","EXECUTE_NO_TREND_CONTROLLED_PRELIMINARY","D12F-R executes no-trend version of D12F queued candidate only."
"D12F_QUEUE_002","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL22","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL22","pre_1974_full","LL22",TRUE,"PASS_D12F_R_SCOPE","EXECUTE_NO_TREND_CONTROLLED_PRELIMINARY","D12F-R executes no-trend version of D12F queued candidate only."
"D12F_QUEUE_003","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_LL00","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL00","pre_1974_full","LL00",TRUE,"PASS_D12F_R_SCOPE","EXECUTE_NO_TREND_CONTROLLED_PRELIMINARY","D12F-R executes no-trend version of D12F queued candidate only."
"D12F_QUEUE_004","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL11","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL11","post_1973_full","LL11",TRUE,"PASS_D12F_R_SCOPE","EXECUTE_NO_TREND_CONTROLLED_PRELIMINARY","D12F-R executes no-trend version of D12F queued candidate only."
"D12F_QUEUE_005","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL22","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL22","post_1973_full","LL22",TRUE,"PASS_D12F_R_SCOPE","EXECUTE_NO_TREND_CONTROLLED_PRELIMINARY","D12F-R executes no-trend version of D12F queued candidate only."
"D12F_QUEUE_006","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL00","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL00","post_1973_full","LL00",TRUE,"PASS_D12F_R_SCOPE","EXECUTE_NO_TREND_CONTROLLED_PRELIMINARY","D12F-R executes no-trend version of D12F queued candidate only."
"D12F_QUEUE_007","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_LL33","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL33","post_1973_full","LL33",TRUE,"PASS_D12F_R_SCOPE","EXECUTE_NO_TREND_CONTROLLED_PRELIMINARY","D12F-R executes no-trend version of D12F queued candidate only."
"D12F_QUEUE_008","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL11","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL11","fordist_core","LL11",TRUE,"PASS_D12F_R_SCOPE","EXECUTE_NO_TREND_CONTROLLED_PRELIMINARY","D12F-R executes no-trend version of D12F queued candidate only."
"D12F_QUEUE_009","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_LL00","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL00","fordist_core","LL00",TRUE,"PASS_D12F_R_SCOPE","EXECUTE_NO_TREND_CONTROLLED_PRELIMINARY","D12F-R executes no-trend version of D12F queued candidate only."
"D12F_QUEUE_010","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL11","bridge_1940_1978","LL11",TRUE,"PASS_D12F_R_SCOPE","EXECUTE_NO_TREND_CONTROLLED_PRELIMINARY","D12F-R executes no-trend version of D12F queued candidate only."
