"source_folder","file_name","file_path","exists","inspected","rows","columns","relevance","notes"
"D12F","D12F_RDOLS_SAMPLE_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12F_CONTROLLED_RDOLS_ROBUSTNESS_EXECUTION/csv/D12F_RDOLS_SAMPLE_LEDGER.csv",TRUE,TRUE,15,18,"required D12F trend-included diagnostic input","inspected without modification"
"D12F","D12F_RDOLS_GATE_STATUS_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12F_CONTROLLED_RDOLS_ROBUSTNESS_EXECUTION/csv/D12F_RDOLS_GATE_STATUS_LEDGER.csv",TRUE,TRUE,15,15,"required D12F trend-included diagnostic input","inspected without modification"
"D12F","D12F_RESULT_WARNING_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12F_CONTROLLED_RDOLS_ROBUSTNESS_EXECUTION/csv/D12F_RESULT_WARNING_LEDGER.csv",TRUE,TRUE,61,10,"required D12F trend-included diagnostic input","inspected without modification"
"D12F","D12F_TERMINAL_DECISION.md","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12F_CONTROLLED_RDOLS_ROBUSTNESS_EXECUTION/D12F_TERMINAL_DECISION.md",TRUE,TRUE,,,"required D12F trend-included diagnostic input","inspected without modification"
"D12C","D12C_RDOLS_COEFFICIENT_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12C_CONTROLLED_PRELIMINARY_RDOLS_ESTIMATION/csv/D12C_RDOLS_COEFFICIENT_LEDGER.csv",TRUE,TRUE,14,10,"required D12C trend-included reference/discovery input","inspected without modification"
"D12C","D12C_INPUT_DISCOVERY_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12C_CONTROLLED_PRELIMINARY_RDOLS_ESTIMATION/csv/D12C_INPUT_DISCOVERY_LEDGER.csv",TRUE,TRUE,20,9,"required D12C trend-included reference/discovery input","inspected without modification"
"D12C","D12C_TERMINAL_DECISION.md","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12C_CONTROLLED_PRELIMINARY_RDOLS_ESTIMATION/D12C_TERMINAL_DECISION.md",TRUE,TRUE,,,"required D12C trend-included reference/discovery input","inspected without modification"
"D12D","D12D_D12E_READINESS_LEDGER.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12D_PRELIMINARY_RESULT_REVIEW/csv/D12D_D12E_READINESS_LEDGER.csv",TRUE,TRUE,9,4,"D12D review authorization input","inspected without modification"
"D12D","D12D_TERMINAL_DECISION.md","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D12D_PRELIMINARY_RESULT_REVIEW/D12D_TERMINAL_DECISION.md",TRUE,TRUE,,,"D12D review authorization input","inspected without modification"
"code","US_D12C_controlled_preliminary_rdols_estimation.R","C:/ReposGitHub/Capacity-Utilization-US_Chile/codes/US_D12C_controlled_preliminary_rdols_estimation.R",TRUE,TRUE,,,"prior code boundary inspection","inspected without modification"
"code","US_D12E_preliminary_rdols_robustness_design.R","C:/ReposGitHub/Capacity-Utilization-US_Chile/codes/US_D12E_preliminary_rdols_robustness_design.R",TRUE,TRUE,,,"prior code boundary inspection","inspected without modification"
"code","US_D12F_controlled_rdols_robustness_execution.R","C:/ReposGitHub/Capacity-Utilization-US_Chile/codes/US_D12F_controlled_rdols_robustness_execution.R",TRUE,TRUE,,,"prior code boundary inspection","inspected without modification"
"D10","D10_clean_us_source_of_truth_panel_wide.csv","C:/ReposGitHub/Capacity-Utilization-US_Chile/output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_us_source_of_truth_panel_wide.csv",TRUE,TRUE,125,72,"canonical source-of-truth data for no-trend RDOLS variables","inspected without modification"
