"review_item_id","candidate_model_id","model_family","window_id","grid_id","term","review_topic","severity","reason","recommended_review_scope"
"D12G_NO_TREND_REVIEW_001","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","full_sample","LL11","(Intercept)","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_002","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","full_sample","LL11","k_me_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_003","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","full_sample","LL11","k_nrc_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_004","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","full_sample","LL11","omega_nfc","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_005","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","full_sample","LL11","k_me_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_006","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","full_sample","LL11","k_nrc_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_007","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","full_sample","LL22","(Intercept)","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_008","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","full_sample","LL22","k_me_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_009","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","full_sample","LL22","k_nrc_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_010","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","full_sample","LL22","omega_nfc","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
