"object_id","object_label","object_type","construction_stage","required_source_family","analytical_role","admissibility_status","blocking_reason","notes"
"CORP__TOTAL__cfc_current_cost","CORP_total_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt404","capital_menu_total","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__TOTAL__gross_investment_current_cost","CORP_total_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt407","capital_menu_total","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__TOTAL__gross_stock_current_cost","CORP_total_gross_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","capital_menu_total","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Preserve as a required gap. Do not substitute net stock or construct GPIM here."
"CORP__TOTAL__net_stock_current_cost","CORP_total_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt401","capital_menu_total","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__TOTAL__net_stock_quantity_index","CORP_total_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt402","capital_menu_total","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__TOTAL__official_price_index","CORP_total_official_price_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","capital_menu_total","diagnostic_pending","","Provider artifact preserved without construction. Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output."
"FIN__TOTAL__cfc_current_cost","FIN_total_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt404","capital_menu_total","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__TOTAL__gross_investment_current_cost","FIN_total_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt407","capital_menu_total","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__TOTAL__gross_stock_current_cost","FIN_total_gross_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","capital_menu_total","diagnostic_pending","","Provider artifact preserved without construction. Preserve as a required gap. Do not substitute net stock or construct GPIM here."
"FIN__TOTAL__net_stock_current_cost","FIN_total_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt401","capital_menu_total","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__TOTAL__net_stock_quantity_index","FIN_total_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt402","capital_menu_total","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__TOTAL__official_price_index","FIN_total_official_price_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","capital_menu_total","diagnostic_pending","","Provider artifact preserved without construction. Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output."
"NFC__TOTAL__cfc_current_cost","NFC_total_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt404","capital_menu_total","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__TOTAL__gross_investment_current_cost","NFC_total_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt407","capital_menu_total","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__TOTAL__gross_stock_current_cost","NFC_total_gross_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","capital_menu_total","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Preserve as a required gap. Do not substitute net stock or construct GPIM here."
