"asset_block","object_role","baseline_use","description"
"ME","SFC_IMPLICIT_BASELINE_PRICE","yes","Recursively recovered capital price index under the locked net-value schedule."
"ME","DIRECT_NOMINAL_INVESTMENT_CANONICAL","yes","Canonical direct nominal investment flow inherited from S12C."
"ME","REAL_INVESTMENT_BASELINE","yes","Nominal investment deflated by the SFC implicit baseline price."
"ME","GROSS_SURVIVAL_GPIM_STOCK_BASELINE","yes","Survival-weighted sum of real investment vintages."
"ME","NET_VALUE_GPIM_STOCK_DIAGNOSTIC","no","Net-value-weighted stock used only to reconstruct the current-cost anchor."
"ME","FAAt402_VALIDATION_ONLY","no","Official quantity index retained only for boundary validation."
"ME","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY","no","NFC output price retained only for output-unit translation robustness."
"ME","PRODUCTIVE_EFFICIENCY_NOT_CONSTRUCTED","no","Productive-efficiency schedules and productive stocks are outside this pass."
"NRC","SFC_IMPLICIT_BASELINE_PRICE","yes","Recursively recovered capital price index under the locked net-value schedule."
"NRC","DIRECT_NOMINAL_INVESTMENT_CANONICAL","yes","Canonical direct nominal investment flow inherited from S12C."
"NRC","REAL_INVESTMENT_BASELINE","yes","Nominal investment deflated by the SFC implicit baseline price."
"NRC","GROSS_SURVIVAL_GPIM_STOCK_BASELINE","yes","Survival-weighted sum of real investment vintages."
"NRC","NET_VALUE_GPIM_STOCK_DIAGNOSTIC","no","Net-value-weighted stock used only to reconstruct the current-cost anchor."
"NRC","FAAt402_VALIDATION_ONLY","no","Official quantity index retained only for boundary validation."
"NRC","OUTPUT_UNIT_TRANSLATION_ROBUSTNESS_ONLY","no","NFC output price retained only for output-unit translation robustness."
"NRC","PRODUCTIVE_EFFICIENCY_NOT_CONSTRUCTED","no","Productive-efficiency schedules and productive stocks are outside this pass."
