"stage_id","variable_id","asset_scope","transformation_family","primary_classification","review_note"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_ME_GPIM_2017","ME","source_preserved","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_NRC_GPIM_2017","NRC","source_preserved","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_RATE_N_ME","ME","cfc_rate_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_RATE_N_NRC","NRC","cfc_rate_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_RATE_N_TOT","TOT","cfc_rate_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_TOT_GPIM_2017","TOT","tot_alias","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_G_ME","ME","first_difference","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_G_NRC","NRC","first_difference","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_G_TOT","TOT","first_difference","AUTHORIZED_SECONDARY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_I_ME","ME","first_difference","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_I_NRC","NRC","first_difference","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
