"stage_id","variable_id","asset_scope","transformation_family","downstream_role","primary_classification","review_note"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_ME_GPIM_2017","ME","source_preserved","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_NRC_GPIM_2017","NRC","source_preserved","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_RATE_N_ME","ME","cfc_rate_diagnostic","depreciation_and_retirement_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_RATE_N_NRC","NRC","cfc_rate_diagnostic","depreciation_and_retirement_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_RATE_N_TOT","TOT","cfc_rate_diagnostic","depreciation_and_retirement_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","CFC_TOT_GPIM_2017","TOT","tot_alias","capital_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_G_ME","ME","first_difference","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_G_NRC","NRC","first_difference","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_G_TOT","TOT","first_difference","productive_capital_growth_candidate","AUTHORIZED_SECONDARY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_I_ME","ME","first_difference","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_I_NRC","NRC","first_difference","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_I_TOT","TOT","first_difference","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_N_ME","ME","first_difference","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_N_NRC","NRC","first_difference","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_N_TOT","TOT","first_difference","net_stock_robustness_candidate","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_G_ME","ME","log_growth","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_G_NRC","NRC","log_growth","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_G_TOT","TOT","log_growth","productive_capital_growth_candidate","AUTHORIZED_SECONDARY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_I_ME","ME","log_growth","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_I_NRC","NRC","log_growth","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_I_TOT","TOT","log_growth","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_N_ME","ME","log_growth","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_N_NRC","NRC","log_growth","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_N_TOT","TOT","log_growth","net_stock_robustness_candidate","AUTHORIZED_SECONDARY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","G_ME_GPIM_2017","ME","source_preserved","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","G_NRC_GPIM_2017","NRC","source_preserved","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","G_TOT_GPIM_2017","TOT","tot_alias","productive_capital_level_primary","AUTHORIZED_PRIMARY","Authoritative S29F TOT level alias for validated S29E gross core stock; preferred level object."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_G_ME","ME","arithmetic_log_growth_gap","growth_gap_diagnostic","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_G_NRC","NRC","arithmetic_log_growth_gap","growth_gap_diagnostic","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_G_TOT","TOT","arithmetic_log_growth_gap","growth_gap_diagnostic","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_I_ME","ME","arithmetic_log_growth_gap","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
