"stage_id","candidate_role","recommended_variable_id","recommendation_status","baseline_estimation_support_rule","justification","authoritative_source"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","productive_capital_level_primary","G_TOT_GPIM_2017","preferred","use fully_supported observations only; first full year 1931","Gross real GPIM stock is the baseline productive-capital quantity.","S29F reviewed S29E-derived variable"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","productive_capital_log_primary","LOG_G_TOT_GPIM_2017","preferred","use fully_supported observations only; first full year 1931","Preferred logged analytical form of gross real GPIM stock.","S29F reviewed S29E-derived variable"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","productive_capital_growth_candidate","DLOG_G_TOT; GROWTH_ARITH_G_TOT","candidate_for_bounded_later_selection","choice depends on later theoretical formula; first full year 1932 for TOT growth","Arithmetic and log growth are both valid but not interchangeable; S29H must choose explicitly.","S29F diagnostic"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","productive_capital_lagged_level_candidate","L1_LOG_G_TOT","candidate_for_bounded_later_selection","use only if lagged level appears explicitly in a later contract; first full year 1932","Lagged log gross stock is admissible only for a later bounded lag specification.","S29F diagnostic"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","productive_capital_lagged_growth_candidate","L1_DLOG_G_TOT","candidate_for_bounded_later_selection","use only if lagged growth appears explicitly in a later contract; first full year 1933","Lagged gross-stock log growth is admissible only for a later bounded lag specification.","S29F diagnostic"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","net_stock_robustness_level","N_TOT_GPIM_2017","robustness_candidate","secondary robustness only; first full year 1931","Net real GPIM stock is depreciation-sensitive and secondary to gross stock.","S29F reviewed S29E-derived variable"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","net_stock_robustness_log","LOG_N_TOT_GPIM_2017","robustness_candidate","secondary robustness only; first full year 1931","Logged net stock is retained for robustness, not baseline productive-capital quantity.","S29F reviewed S29E-derived variable"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","investment_flow_diagnostic","I_TOT_REAL_2017; LOG_I_TOT_REAL_2017","diagnostic_only","flow diagnostic; not a stock substitute","Investment is a flow and cannot substitute for a stock level.","S29F diagnostic"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","composition_diagnostic","SHARE_GROSS_ME_TOT; SHARE_GROSS_NRC_TOT; SHARE_NET_ME_TOT; SHARE_NET_NRC_TOT; SHARE_INVESTMENT_ME_TOT; SHARE_INVESTMENT_NRC_TOT","diagnostic_only","diagnostic composition only","Shares describe composition and are not construction weights.","S29F diagnostic"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","depreciation_and_retirement_diagnostic","RET_RATE_G_TOT; CFC_RATE_N_TOT; INV_RATE_G_TOT","diagnostic_only","diagnostic intensity only","Rates describe accounting intensities and are not structural parameters.","S29F diagnostic"
